ID,Branch Name,Tier,Address,Postal Code,FSA,NBHD No.,NBHD Name,Ward No.,Ward Region,TSNS 2020 NIA,TSNS 2020 Branch
ACD,Albert Campbell ,DL,496 Birchmount Rd,M1K 1N8,M1K,120,Clairlea-Birchmount ,20,Scarborough-Southwest,No,Yes
AB,Albion,DL,1515 Albion Rd,M9V 1B2,M9V,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North,Yes,Yes
AP,Amesbury Park,NL,1565 Lawrence Ave W,M6L 1A8,M6L,30,Brookhaven-Amesbury ,5,York South-Weston,No,Yes
BD,Bendale,NL,1515 Danforth Rd,M1J 1H5,M1J,127,Bendale,21,Scarborough Centre,No,Yes
BC,Black Creek,NL,"1700 Wilson Ave, Unit 63-64",M3L 1B2,M3L,26,Downsview-Roding-CFB,7,Humber River-Black Creek,Yes,Yes
BUR,Burrows Hall,NL,1081 Progress Ave,M1B 5Z6,M1B,132,Malvern,23,Scarborough North,No,Yes
CED,Cedarbrae,DL ,545 Markham Rd,M1H 2A1,M1H,137,Woburn,24,Scarborough-Guildwood,Yes,Yes
CC,Cliffcrest,NL,3017 Kingston Rd,M1M 1P1,M1M,123,Cliffcrest ,20,Scarborough Southwest,No,Yes
DR,Dawes Road,NL,416 Dawes Rd ,M4B 2E8,M4B,54,O'Connor-Parkview,19,Beaches-East York ,No,Yes
DO,Downsview,NL,2793 Keele St,M3M 2G3,M3M,26,Downsview-Roding-CFB,6,York Centre ,Yes,Yes
ES,Eglinton Square,NL,"1 Eglinton Sq, Unit 126 ",M1L 2K1,M1L,120,Clairlea-Birchmount,20,Scarborough Southwest ,No,Yes
EG,Evelyn Gregory,NL,120 Trowell Ave,M6M 1L7,M6M,110,Keelesdale-Eglinton West,5,York South-Weston ,Yes,Yes
FP,Flemingdon Park,NL,29 St. Dennis Dr ,M3C 3J3,M3C,44,Flemingdon Park ,16,Don Valley East ,Yes,Yes
HS,Humber Summit,NL,2990 Islington Ave,M9L 2K6,M9L,21,Humber Summit,7,Humber River-Black Creek,Yes,Yes
JD,Jane Dundas,NL,620 Jane St,M6S 4A6,M6S,89,Runnymede-Bloor West Village ,4,Parkdale-High Park ,No,Yes
JS,Jane Sheppard,NL,1906 Sheppard Ave West,M3L 1Y7,M3L,25,Glenfield-Jane Heights ,7,Humber River-Black Creek,Yes,Yes
KE,Kennedy Eglinton,NL,2380 Eglinton Ave E,M1K 2P3,M1K,125,Ionview ,21,Scarborough Centre ,Yes,Yes
MS,Morningside,NL,4279 Lawrence Ave E,M1E 2S8,M1E,136,West Hill ,25,Scarborough-Rouge Park,Yes,Yes
MD,Mount Dennis,NL,1123 Weston Rd,M6N 3S3,M6N,115,Mount Dennis ,5,York South-Weston ,Yes,Yes
NE,Northern Elms,NL,"123 B Rexdale Blvd, Unit 5",M9W 1P1,M9W,1,West Humber-Clairville,1,Etobicoke North ,No,Yes
PK,Parkdale,NL,1303 Queen St W,M6K 1L6,M6K,85,South Parkdale,4,Parkdale-High Park ,Yes,Yes
PL,Parliament Street,NL,269 Gerrard St E,M5A 2G6,M5A,73,Moss Park,13,Toronto Centre,No,Yes
RX,Rexdale,NL,2243 Kipling Ave,M9W 4L5,M9W,4,Rexdale-Kipling,1,Etobicoke North ,No,Yes
RI,Richview,DL ,1806 Islington Ave,M9P 3N3,M9P,7,Willowridge-Martingrove-Richview,2,Etobicoke Centre ,No,Yes
SC,Scarborough Civic Centre,NL,150 Borough Dr,M1P 4N7,M1P,127,Bendale,21,Scarborough - Centre,No,Yes
SI,St. Clair Silverthorn,NL,1748 St. Clair Ave W,M6N 1J3,M6N,91,Weston-Pellam Park,9,Davenport ,Yes,Yes
TH,Thorncliffe,NL,48 Thorncliffe Park Dr,M4H 1J7,M4H,55,Thorncliffe Park ,15,Don Valley West ,Yes,Yes
VV,Victoria Village,NL,184 Sloane Ave,M4A 2C4,M4A,43,Victoria Village ,16,Don Valley East ,Yes,Yes
WE,Weston,NL,2 King St,M9N 1K9,M9N,113,Weston ,5,York South-Weston ,Yes,Yes
WP,Woodview Park,NL,16 Bradstock Rd,M9M 1M8,M9M,22,Humbermede ,7,Humber River-Black Creek,Yes,Yes
YW,York Woods,DL,1785 Finch Ave W,M3N 1M6,M3N,25,Glenfield-Jane Heights ,7,Humber River-Black Creek,Yes,Yes