_id,Year,BranchCode,Circulation
1,2012,AB,515235
2,2012,ACD,446623
3,2012,AD,171050
4,2012,AG,1061437
5,2012,AH,204490
6,2012,AL,54585
7,2012,AN,240626
8,2012,AP,163898
9,2012,BB,202154
10,2012,BC,138372
11,2012,BD,200129
12,2012,BE,341900
13,2012,BF,647905
14,2012,BKONE,67865
15,2012,BKTWO,70889
16,2012,BL,479949
17,2012,BR,106001
18,2012,BRW,518725
19,2012,BUR,218886
20,2012,CC,195299
21,2012,CE,348457
22,2012,CED,731057
23,2012,CH,384481
24,2012,CL,1703346
25,2012,CS,215913
26,2012,DA,307214
27,2012,DM,685617
28,2012,DO,271666
29,2012,DP,401443
30,2012,DR,225295
31,2012,DS,10226
32,2012,DT,123173
33,2012,DU,154309
34,2012,EA,530488
35,2012,EB,183060
36,2012,EG,95421
37,2012,EN,433652
38,2012,ES,286302
39,2012,FH,227143
40,2012,FP,188026
41,2012,FV,890759
42,2012,GE,203132
43,2012,GHP,334004
44,2012,GW,148552
45,2012,HB,192426
46,2012,HC,218516
47,2012,HIL,360965
48,2012,HLS,384444
49,2012,HP,308987
50,2012,HS,97199
51,2012,HW,106825
52,2012,IL,5076
53,2012,JD,300276
54,2012,JO,181779
55,2012,JS,141266
56,2012,KE,223015
57,2012,LB,142115
58,2012,LD,2170
59,2012,LE,363636
60,2012,LO,351907
61,2012,LS,499815
62,2012,MA,278109
63,2012,MAL,534394
64,2012,MAS,284876
65,2012,MCG,269715
66,2012,MD,9180
67,2012,ME,23
68,2012,MI,216921
69,2012,MP,163678
70,2012,MRV,266502
71,2012,MS,217494
72,2012,ND,489994
73,2012,NE,90365
74,2012,NT,146150
75,2012,OS,2
76,2012,OV,128285
77,2012,PA,436618
78,2012,PE,86088
79,2012,PK,375921
80,2012,PL,261976
81,2012,PM,220608
82,2012,PR,570890
83,2012,PU,254806
84,2012,PV,256862
85,2012,QS,108993
86,2012,RD,338175
87,2012,RI,791674
88,2012,RN,470632
89,2012,RX,97181
90,2012,SA,311553
91,2012,SB,46924
92,2012,SI,65465
93,2012,SJ,301031
94,2012,SL,200598
95,2012,SP,196119
96,2012,ST,338021
97,2012,SW,45368
98,2012,SWS,459564
99,2012,TA,130971
100,2012,TH,231899
101,2012,TOD,55391
102,2012,TRL,355367
103,2012,VIR,1073340
104,2012,VV,117945
105,2012,WE,185500
106,2012,WP,90311
107,2012,WS,542341
108,2012,WY,243739
109,2012,YO,327149
110,2012,YW,338157
111,2013,AB,466776
112,2013,ACD,420341
113,2013,AD,178588
114,2013,AG,1053430
115,2013,AH,207404
116,2013,AL,56496
117,2013,AN,212282
118,2013,AP,151191
119,2013,BB,203292
120,2013,BC,110368
121,2013,BD,184484
122,2013,BE,348964
123,2013,BF,613282
124,2013,BKONE,60626
125,2013,BKTWO,71551
126,2013,BL,477286
127,2013,BR,420090
128,2013,BRW,522544
129,2013,BUR,207751
130,2013,CC,193420
131,2013,CE,349505
132,2013,CED,659795
133,2013,CH,381890
134,2013,CL,1735943
135,2013,CS,214116
136,2013,DA,319308
137,2013,DM,630135
138,2013,DO,265652
139,2013,DP,407306
140,2013,DR,235319
141,2013,DS,6068
142,2013,DT,120435
143,2013,DU,151379
144,2013,EA,481519
145,2013,EB,184184
146,2013,EG,82785
147,2013,EN,499535
148,2013,ES,283051
149,2013,FH,215971
150,2013,FP,173555
151,2013,FV,186152
152,2013,GE,194083
153,2013,GHP,309625
154,2013,GW,134737
155,2013,HB,185845
156,2013,HC,204248
157,2013,HIL,468119
158,2013,HLS,411437
159,2013,HP,347145
160,2013,HS,89453
161,2013,HW,101325
162,2013,IL,4213
163,2013,JD,290200
164,2013,JO,185842
165,2013,JS,140002
166,2013,KE,214023
167,2013,LB,135757
168,2013,LD,2353
169,2013,LE,364969
170,2013,LO,356462
171,2013,LS,495308
172,2013,MA,254725
173,2013,MAL,507636
174,2013,MAS,249361
175,2013,MCG,256023
176,2013,MD,105129
177,2013,ME,4
178,2013,MI,188067
179,2013,MP,159474
180,2013,MRV,258596
181,2013,MS,216544
182,2013,ND,492887
183,2013,NE,95443
184,2013,NT,136741
185,2013,OS,10
186,2013,OV,133008
187,2013,PA,437861
188,2013,PE,87564
189,2013,PK,371412
190,2013,PL,257039
191,2013,PM,222670
192,2013,PR,520478
193,2013,PU,250018
194,2013,PV,364392
195,2013,QS,114279
196,2013,RD,304089
197,2013,RI,669746
198,2013,RN,457819
199,2013,RX,92390
200,2013,SA,292200
201,2013,SB,43349
202,2013,SI,61402
203,2013,SJ,297168
204,2013,SL,219240
205,2013,SP,178496
206,2013,ST,323144
207,2013,SW,44401
208,2013,SWS,453121
209,2013,TA,137367
210,2013,TH,231256
211,2013,TOD,57785
212,2013,TRL,372810
213,2013,VIR,2105515
214,2013,VV,117074
215,2013,WE,148627
216,2013,WP,87524
217,2013,WS,520729
218,2013,WY,239247
219,2013,YO,325299
220,2013,YW,306947
221,2014,AB,398248
222,2014,ACD,398024
223,2014,AD,176590
224,2014,AG,934448
225,2014,AH,192068
226,2014,AL,54289
227,2014,AN,192175
228,2014,AP,141236
229,2014,BB,191767
230,2014,BC,114512
231,2014,BD,161001
232,2014,BE,347392
233,2014,BF,585103
234,2014,BKONE,61331
235,2014,BKTWO,42389
236,2014,BL,442201
237,2014,BR,405961
238,2014,BRW,493792
239,2014,BUR,193594
240,2014,CC,174901
241,2014,CE,311704
242,2014,CED,584174
243,2014,CH,360425
244,2014,CL,1612696
245,2014,CS,194304
246,2014,DA,306457
247,2014,DM,600651
248,2014,DO,241057
249,2014,DP,409681
250,2014,DR,207658
251,2014,DS,5910
252,2014,DT,120646
253,2014,DU,146068
254,2014,EA,511745
255,2014,EB,167238
256,2014,EG,83330
257,2014,EN,452867
258,2014,ES,260109
259,2014,FH,205273
260,2014,FO,132189
261,2014,FP,153730
262,2014,FV,697775
263,2014,GE,182103
264,2014,GHP,286301
265,2014,GW,124727
266,2014,HB,181224
267,2014,HC,192057
268,2014,HIL,363547
269,2014,HLS,385227
270,2014,HP,334554
271,2014,HS,78459
272,2014,HW,90607
273,2014,IL,4213
274,2014,JD,285210
275,2014,JO,178808
276,2014,JS,128740
277,2014,KE,194291
278,2014,LB,138562
279,2014,LD,3195
280,2014,LE,362819
281,2014,LO,347441
282,2014,LS,431178
283,2014,MA,252997
284,2014,MAL,442761
285,2014,MAS,232861
286,2014,MCG,234554
287,2014,MD,114802
288,2014,MI,169427
289,2014,MP,152317
290,2014,MRV,239917
291,2014,MS,189655
292,2014,ND,464453
293,2014,NE,89817
294,2014,NT,127543
295,2014,OS,16
296,2014,OV,132051
297,2014,PA,424425
298,2014,PE,91155
299,2014,PK,372542
300,2014,PL,238983
301,2014,PM,218377
302,2014,PR,470944
303,2014,PU,231040
304,2014,PV,238752
305,2014,QS,115853
306,2014,RD,306181
307,2014,RI,599169
308,2014,RN,448648
309,2014,RX,80646
310,2014,SA,264573
311,2014,SB,42559
312,2014,SI,58719
313,2014,SJ,281753
314,2014,SL,219081
315,2014,SP,161094
316,2014,ST,225130
317,2014,SW,44895
318,2014,SWS,425361
319,2014,TA,133291
320,2014,TH,204845
321,2014,TOD,56161
322,2014,TRL,386528
323,2014,VIR,3488252
324,2014,VV,104944
325,2014,WE,137135
326,2014,WP,79759
327,2014,WS,457886
328,2014,WY,208312
329,2014,YO,324428
330,2014,YW,290231
331,2015,AB,353764
332,2015,ACD,380452
333,2015,AD,169022
334,2015,AG,843672
335,2015,AH,198247
336,2015,AL,47397
337,2015,AN,221150
338,2015,AP,120983
339,2015,BB,179265
340,2015,BC,109587
341,2015,BD,147119
342,2015,BE,356357
343,2015,BF,583455
344,2015,BKONE,51277
345,2015,BKTWO,33699
346,2015,BL,446446
347,2015,BR,411129
348,2015,BRW,449199
349,2015,BUR,178652
350,2015,CC,173302
351,2015,CE,291551
352,2015,CED,522254
353,2015,CH,342516
354,2015,CL,1571479
355,2015,CS,194055
356,2015,DA,296571
357,2015,DM,627900
358,2015,DO,224968
359,2015,DP,421451
360,2015,DR,205651
361,2015,DS,6934
362,2015,DT,126743
363,2015,DU,151261
364,2015,EA,517719
365,2015,EB,158219
366,2015,EG,81207
367,2015,EN,374989
368,2015,ES,249279
369,2015,FH,198480
370,2015,FO,219431
371,2015,FP,148828
372,2015,FV,805825
373,2015,GE,183970
374,2015,GHP,264751
375,2015,GW,121419
376,2015,HB,172226
377,2015,HC,179144
378,2015,HIL,340458
379,2015,HLS,400065
380,2015,HP,327969
381,2015,HS,73816
382,2015,HW,82685
383,2015,IL,4787
384,2015,JD,274077
385,2015,JO,177360
386,2015,JS,120388
387,2015,KE,188001
388,2015,LB,142842
389,2015,LD,3325
390,2015,LE,365509
391,2015,LO,336679
392,2015,LS,392895
393,2015,MA,256372
394,2015,MAL,404133
395,2015,MAS,248394
396,2015,MCG,217638
397,2015,MD,111864
398,2015,MI,185421
399,2015,MP,152476
400,2015,MRV,224525
401,2015,MS,183685
402,2015,ND,453583
403,2015,NE,83841
404,2015,NT,129918
405,2015,OS,43
406,2015,OV,132719
407,2015,PA,425823
408,2015,PE,91381
409,2015,PK,385299
410,2015,PL,240075
411,2015,PM,215454
412,2015,PR,438145
413,2015,PU,227324
414,2015,PV,211842
415,2015,QS,122194
416,2015,RD,281348
417,2015,RI,623078
418,2015,RN,462269
419,2015,RX,82560
420,2015,SA,235400
421,2015,SB,44305
422,2015,SC,149189
423,2015,SI,58560
424,2015,SJ,258692
425,2015,SL,192194
426,2015,SP,180851
427,2015,ST,267333
428,2015,SW,46684
429,2015,SWS,415562
430,2015,TA,127191
431,2015,TH,192845
432,2015,TOD,59787
433,2015,TRL,412943
434,2015,VIR,4395657
435,2015,VV,106014
436,2015,WE,135560
437,2015,WP,77281
438,2015,WS,412778
439,2015,WY,235971
440,2015,YO,319571
441,2015,YW,246340
442,2016,AB,300607
443,2016,ACD,360510
444,2016,AD,164877
445,2016,AG,712014
446,2016,AH,193515
447,2016,AL,45026
448,2016,AN,223409
449,2016,AP,106771
450,2016,BB,166907
451,2016,BC,103621
452,2016,BD,141482
453,2016,BE,332412
454,2016,BF,546283
455,2016,BKONE,45472
456,2016,BKTWO,29359
457,2016,BL,410988
458,2016,BR,420952
459,2016,BRW,420243
460,2016,BUR,155738
461,2016,CC,164321
462,2016,CE,276142
463,2016,CED,485383
464,2016,CH,337178
465,2016,CL,1322318
466,2016,CS,190775
467,2016,DA,302772
468,2016,DM,619014
469,2016,DO,210675
470,2016,DP,413421
471,2016,DR,197789
472,2016,DS,7452
473,2016,DT,125999
474,2016,DU,145940
475,2016,EA,508926
476,2016,EB,149823
477,2016,EG,79388
478,2016,EN,413869
479,2016,ES,127466
480,2016,FH,200010
481,2016,FO,222008
482,2016,FP,140186
483,2016,FV,751914
484,2016,GE,187874
485,2016,GHP,249112
486,2016,GW,119074
487,2016,HB,174152
488,2016,HC,165053
489,2016,HIL,316962
490,2016,HLS,413186
491,2016,HP,332131
492,2016,HS,69845
493,2016,HW,71346
494,2016,IL,4905
495,2016,JD,278761
496,2016,JO,181351
497,2016,JS,104672
498,2016,KE,172424
499,2016,LB,143304
500,2016,LD,2175
501,2016,LE,366723
502,2016,LO,339256
503,2016,LS,387051
504,2016,MA,263340
505,2016,MAL,374677
506,2016,MAS,230554
507,2016,MCG,196526
508,2016,MD,106395
509,2016,ME,2
510,2016,MI,187470
511,2016,MP,161406
512,2016,MRV,207891
513,2016,MS,177218
514,2016,ND,458418
515,2016,NE,80537
516,2016,NT,131787
517,2016,OS,12
518,2016,OV,123968
519,2016,PA,419428
520,2016,PE,94035
521,2016,PK,382060
522,2016,PL,226487
523,2016,PM,218096
524,2016,PR,402033
525,2016,PU,222051
526,2016,PV,209857
527,2016,QS,121496
528,2016,RD,265073
529,2016,RI,635613
530,2016,RN,465511
531,2016,RX,76880
532,2016,SA,212780
533,2016,SB,39733
534,2016,SC,179190
535,2016,SI,57530
536,2016,SJ,253579
537,2016,SL,221478
538,2016,SP,187784
539,2016,ST,256926
540,2016,SW,43082
541,2016,SWS,406483
542,2016,TA,115914
543,2016,TH,178515
544,2016,TOD,53254
545,2016,TRL,420859
546,2016,VIR,5024490
547,2016,VV,107811
548,2016,WE,135040
549,2016,WP,69884
550,2016,WS,387621
551,2016,WY,242999
552,2016,YO,302099
553,2016,YW,222393
554,2017,AB,309631
555,2017,ACD,338066
556,2017,AD,158583
557,2017,AG,621226
558,2017,AH,202628
559,2017,AL,42926
560,2017,AN,250427
561,2017,AP,55198
562,2017,BB,161391
563,2017,BC,97368
564,2017,BD,123592
565,2017,BE,314024
566,2017,BF,527513
567,2017,BKONE,38740
568,2017,BKTWO,26421
569,2017,BL,388365
570,2017,BR,433080
571,2017,BRW,385501
572,2017,BUR,141431
573,2017,CC,142382
574,2017,CE,307111
575,2017,CED,430830
576,2017,CH,299464
577,2017,CL,597896
578,2017,CS,189415
579,2017,DA,277410
580,2017,DM,565703
581,2017,DO,201514
582,2017,DP,395781
583,2017,DR,186973
584,2017,DS,8291
585,2017,DT,119636
586,2017,DU,149156
587,2017,EA,501624
588,2017,EB,128037
589,2017,EG,67336
590,2017,EN,455110
591,2017,ES,123786
592,2017,FH,189387
593,2017,FO,221413
594,2017,FP,114744
595,2017,FV,728426
596,2017,GE,177571
597,2017,GHP,226852
598,2017,GW,114626
599,2017,HB,167341
600,2017,HC,155735
601,2017,HIL,309418
602,2017,HLS,368257
603,2017,HP,317578
604,2017,HS,36120
605,2017,HW,62989
606,2017,IL,4286
607,2017,JD,295469
608,2017,JO,167736
609,2017,JS,85026
610,2017,KE,155073
611,2017,LB,128538
612,2017,LD,1401
613,2017,LE,348572
614,2017,LO,352148
615,2017,LS,352547
616,2017,MA,248530
617,2017,MAL,334069
618,2017,MAS,211188
619,2017,MCG,176865
620,2017,MD,108609
621,2017,ME,14
622,2017,MI,178966
623,2017,MP,155354
624,2017,MRV,187741
625,2017,MS,161130
626,2017,ND,456927
627,2017,NE,76862
628,2017,NT,125383
629,2017,OS,29
630,2017,OV,117577
631,2017,PA,386965
632,2017,PE,92619
633,2017,PK,357701
634,2017,PL,203705
635,2017,PM,194152
636,2017,PR,328450
637,2017,PU,203226
638,2017,PV,190453
639,2017,QS,113269
640,2017,RD,238778
641,2017,RI,539487
642,2017,RN,281048
643,2017,RX,79110
644,2017,SA,193422
645,2017,SB,38302
646,2017,SC,179314
647,2017,SI,50583
648,2017,SJ,223251
649,2017,SL,215415
650,2017,SP,176028
651,2017,ST,238620
652,2017,SW,68141
653,2017,SWS,407819
654,2017,TA,94731
655,2017,TH,168175
656,2017,TOD,51952
657,2017,TRL,404937
658,2017,VIR,5639413
659,2017,VV,99426
660,2017,WE,128443
661,2017,WP,67938
662,2017,WS,340490
663,2017,WY,232975
664,2017,YO,286724
665,2017,YW,199765
666,2018,AB,328536
667,2018,ACD,303855
668,2018,AD,155864
669,2018,AG,623148
670,2018,AH,214013
671,2018,AL,48323
672,2018,AN,201476
673,2018,AP,85101
674,2018,BB,156836
675,2018,BC,86179
676,2018,BD,122497
677,2018,BE,289818
678,2018,BF,503402
679,2018,BKONE,34532
680,2018,BKTWO,25881
681,2018,BL,369252
682,2018,BR,418716
683,2018,BRW,419149
684,2018,BUR,123742
685,2018,CC,137460
686,2018,CE,297665
687,2018,CED,394326
688,2018,CH,273173
689,2018,CL,764881
690,2018,CS,182356
691,2018,DA,269855
692,2018,DM,545675
693,2018,DO,185960
694,2018,DP,401466
695,2018,DR,162061
696,2018,DS,12948
697,2018,DT,131944
698,2018,DU,169416
699,2018,EA,463951
700,2018,EB,125978
701,2018,EG,62447
702,2018,EN,429168
703,2018,ES,204647
704,2018,FH,181125
705,2018,FO,227453
706,2018,FP,103736
707,2018,FV,683924
708,2018,GE,171810
709,2018,GHP,202870
710,2018,GW,97265
711,2018,HB,156811
712,2018,HC,145360
713,2018,HIL,298415
714,2018,HLS,337801
715,2018,HP,302244
716,2018,HS,53901
717,2018,HW,55565
718,2018,IL,4902
719,2018,JD,269642
720,2018,JO,160471
721,2018,JS,81754
722,2018,KE,130416
723,2018,LB,130359
724,2018,LD,1783
725,2018,LE,344926
726,2018,LO,349360
727,2018,LS,322224
728,2018,MA,242978
729,2018,MAL,312335
730,2018,MAS,201845
731,2018,MCG,158704
732,2018,MD,104754
733,2018,ME,5
734,2018,MI,172926
735,2018,MP,153772
736,2018,MRV,162654
737,2018,MS,152677
738,2018,ND,432317
739,2018,NE,66929
740,2018,NT,128546
741,2018,OS,68
742,2018,OV,133088
743,2018,PA,374726
744,2018,PE,94768
745,2018,PK,324230
746,2018,PL,191193
747,2018,PM,189682
748,2018,PR,298981
749,2018,PU,202041
750,2018,PV,157096
751,2018,QS,111106
752,2018,RD,223472
753,2018,RI,540718
754,2018,RN,421173
755,2018,RX,66414
756,2018,SA,178416
757,2018,SB,35882
758,2018,SC,172722
759,2018,SI,4239
760,2018,SJ,221964
761,2018,SL,216375
762,2018,SP,173509
763,2018,ST,114108
764,2018,SW,40102
765,2018,SWS,399144
766,2018,TA,104908
767,2018,TH,152062
768,2018,TOD,47739
769,2018,TRL,394068
770,2018,VIR,7001209
771,2018,VV,87550
772,2018,WE,116159
773,2018,WP,71530
774,2018,WS,312597
775,2018,WY,115280
776,2018,YO,255993
777,2018,YW,181002
778,2019,AB,300374
779,2019,ACD,219561
780,2019,AD,147747
781,2019,AG,562590
782,2019,AH,213427
783,2019,AL,48219
784,2019,AN,201398
785,2019,AP,86154
786,2019,BB,151891
787,2019,BC,79871
788,2019,BD,114383
789,2019,BE,287323
790,2019,BF,482673
791,2019,BKONE,34614
792,2019,BKTWO,21799
793,2019,BL,372794
794,2019,BR,409868
795,2019,BRW,346131
796,2019,BUR,123257
797,2019,CC,155449
798,2019,CE,270126
799,2019,CED,374943
800,2019,CH,270410
801,2019,CL,995148
802,2019,CS,189401
803,2019,DA,273555
804,2019,DM,472171
805,2019,DO,122726
806,2019,DP,415115
807,2019,DR,151755
808,2019,DS,14026
809,2019,DT,138693
810,2019,DU,169397
811,2019,EA,441050
812,2019,EB,120847
813,2019,EG,64150
814,2019,EN,397779
815,2019,ES,202898
816,2019,FH,172300
817,2019,FO,230898
818,2019,FP,98375
819,2019,FV,638738
820,2019,GE,167483
821,2019,GHP,194589
822,2019,GW,47291
823,2019,HB,160861
824,2019,HC,135525
825,2019,HIL,281722
826,2019,HLS,292397
827,2019,HP,338769
828,2019,HS,51847
829,2019,HW,50965
830,2019,IL,3887
831,2019,JD,267037
832,2019,JO,154766
833,2019,JS,93852
834,2019,KE,122499
835,2019,LB,128543
836,2019,LD,1369
837,2019,LE,330924
838,2019,LO,335761
839,2019,LS,273328
840,2019,MA,252545
841,2019,MAL,291620
842,2019,MAS,178398
843,2019,MCG,152135
844,2019,MD,89270
845,2019,ME,2
846,2019,MI,167353
847,2019,MP,155612
848,2019,MRV,148594
849,2019,MS,156566
850,2019,ND,420227
851,2019,NE,62927
852,2019,NT,122517
853,2019,OS,153
854,2019,OV,142126
855,2019,PA,359576
856,2019,PE,97542
857,2019,PK,204819
858,2019,PL,101464
859,2019,PM,194833
860,2019,PR,237203
861,2019,PU,200031
862,2019,PV,168874
863,2019,QS,103936
864,2019,RD,225704
865,2019,RI,556421
866,2019,RN,426354
867,2019,RX,69288
868,2019,SA,171106
869,2019,SB,32196
870,2019,SC,172072
871,2019,SI,14047
872,2019,SJ,248646
873,2019,SL,220519
874,2019,SP,172880
875,2019,ST,198868
876,2019,SW,41280
877,2019,SWS,389780
878,2019,TA,103046
879,2019,TH,138280
880,2019,TOD,55877
881,2019,TRL,375830
882,2019,VIR,8075177
883,2019,VV,87183
884,2019,WE,108961
885,2019,WP,60941
886,2019,WS,290873
887,2019,WY,14190
888,2019,YO,251808
889,2019,YW,134944
890,2020,AB,126586
891,2020,ACD,12976
892,2020,AD,36256
893,2020,AG,266625
894,2020,AH,64139
895,2020,AL,17722
896,2020,AN,106555
897,2020,AP,38630
898,2020,BB,87211
899,2020,BC,22006
900,2020,BD,52748
901,2020,BE,144929
902,2020,BF,252244
903,2020,BKONE,13800
904,2020,BKTWO,6336
905,2020,BL,201595
906,2020,BR,237555
907,2020,BRW,90230
908,2020,BUR,29631
909,2020,CC,83210
910,2020,CE,142566
911,2020,CED,151216
912,2020,CH,65935
913,2020,CL,454082
914,2020,CS,107163
915,2020,DA,158261
916,2020,DM,250437
917,2020,DO,57064
918,2020,DP,196534
919,2020,DR,96246
920,2020,DS,6111
921,2020,DT,35733
922,2020,DU,109802
923,2020,EA,225948
924,2020,EB,59378
925,2020,EG,25521
926,2020,EN,140088
927,2020,ES,63514
928,2020,FH,108414
929,2020,FO,118480
930,2020,FP,31643
931,2020,FV,302231
932,2020,GE,54932
933,2020,GHP,85080
934,2020,GW,51998
935,2020,HB,43315
936,2020,HC,65639
937,2020,HIL,155417
938,2020,HLS,93276
939,2020,HP,159632
940,2020,HS,22677
941,2020,HW,14847
942,2020,IL,885
943,2020,JD,136480
944,2020,JO,85172
945,2020,JS,46122
946,2020,KE,60245
947,2020,LB,79922
948,2020,LD,317
949,2020,LE,192613
950,2020,LO,177203
951,2020,LS,148317
952,2020,MA,136340
953,2020,MAL,124229
954,2020,MAS,75572
955,2020,MCG,77049
956,2020,MD,39678
957,2020,ME,15
958,2020,MI,96529
959,2020,MP,39179
960,2020,MRV,36625
961,2020,MS,100102
962,2020,ND,218795
963,2020,NE,40990
964,2020,NT,50501
965,2020,OS,8
966,2020,OV,79771
967,2020,PA,174872
968,2020,PE,26668
969,2020,PK,158296
970,2020,PL,107691
971,2020,PM,147392
972,2020,PR,87275
973,2020,PU,49387
974,2020,PV,88899
975,2020,QS,26002
976,2020,RD,123931
977,2020,RI,260967
978,2020,RN,238495
979,2020,RX,19791
980,2020,SA,67177
981,2020,SB,7357
982,2020,SC,75354
983,2020,SI,15409
984,2020,SJ,52790
985,2020,SL,120344
986,2020,SP,52033
987,2020,ST,101547
988,2020,SW,12110
989,2020,SWS,211230
990,2020,TA,72986
991,2020,TH,66087
992,2020,TOD,13900
993,2020,TRL,201399
994,2020,VIR,10540429
995,2020,VV,33155
996,2020,WE,51331
997,2020,WP,28476
998,2020,WS,78857
999,2020,WY,5174
1000,2020,YO,70318
1001,2020,YW,26964
1002,2021,AB,155096
1003,2021,ACD,28134
1004,2021,AD,48728
1005,2021,AG,326570
1006,2021,AH,105018
1007,2021,AL,13537
1008,2021,AN,149040
1009,2021,AP,41849
1010,2021,BB,111742
1011,2021,BC,19013
1012,2021,BD,63449
1013,2021,BE,183234
1014,2021,BF,293635
1015,2021,BKONE,21312
1016,2021,BKTWO,9496
1017,2021,BL,259208
1018,2021,BR,323591
1019,2021,BRW,116119
1020,2021,BUR,20539
1021,2021,CC,99385
1022,2021,CE,193796
1023,2021,CED,163107
1024,2021,CH,10989
1025,2021,CL,557517
1026,2021,CS,156730
1027,2021,DA,209279
1028,2021,DM,322966
1029,2021,DO,88205
1030,2021,DP,236812
1031,2021,DR,118588
1032,2021,DS,7833
1033,2021,DT,26454
1034,2021,DU,150961
1035,2021,EA,316632
1036,2021,EB,79901
1037,2021,EG,33233
1038,2021,EN,228315
1039,2021,ES,83269
1040,2021,FH,145741
1041,2021,FO,164671
1042,2021,FP,48842
1043,2021,FV,327664
1044,2021,GE,108116
1045,2021,GHP,148829
1046,2021,GW,68108
1047,2021,HB,35186
1048,2021,HC,94402
1049,2021,HIL,203559
1050,2021,HLS,68932
1051,2021,HP,200351
1052,2021,HS,24270
1053,2021,HW,17228
1054,2021,IL,1191
1055,2021,JD,190050
1056,2021,JO,115065
1057,2021,JS,52713
1058,2021,KE,81130
1059,2021,LB,111236
1060,2021,LD,83
1061,2021,LE,275747
1062,2021,LO,240346
1063,2021,LS,198145
1064,2021,MA,190319
1065,2021,MAL,154004
1066,2021,MAS,98129
1067,2021,MCG,99043
1068,2021,MD,49966
1069,2021,ME,164
1070,2021,MI,133806
1071,2021,MP,11242
1072,2021,MRV,38201
1073,2021,MS,155286
1074,2021,ND,273570
1075,2021,NE,45142
1076,2021,NT,63807
1077,2021,OS,82
1078,2021,OV,116773
1079,2021,PA,234282
1080,2021,PE,22187
1081,2021,PK,188589
1082,2021,PL,147856
1083,2021,PM,204010
1084,2021,PR,57556
1085,2021,PU,45739
1086,2021,PV,101720
1087,2021,QS,19390
1088,2021,RD,156177
1089,2021,RI,317534
1090,2021,RN,309451
1091,2021,RX,25604
1092,2021,SA,73687
1093,2021,SB,2586
1094,2021,SC,93231
1095,2021,SI,20242
1096,2021,SJ,23406
1097,2021,SL,161940
1098,2021,SP,33199
1099,2021,ST,133286
1100,2021,SW,4642
1101,2021,SWS,294167
1102,2021,TA,89976
1103,2021,TH,69257
1104,2021,TOD,6238
1105,2021,TRL,238759
1106,2021,VIR,11107957
1107,2021,VV,49993
1108,2021,WE,59795
1109,2021,WP,38902
1110,2021,WS,81545
1111,2021,WY,3768
1112,2021,YO,65723
1113,2021,YW,22279
1114,2022,AB,209792
1115,2022,ACD,84732
1116,2022,AD,91028
1117,2022,AG,394133
1118,2022,AH,69713
1119,2022,AL,22765
1120,2022,AN,131914
1121,2022,AP,53317
1122,2022,BB,134769
1123,2022,BC,33959
1124,2022,BD,69628
1125,2022,BE,215838
1126,2022,BF,368807
1127,2022,BKONE,27794
1128,2022,BKTWO,13148
1129,2022,BL,289981
1130,2022,BR,345454
1131,2022,BRW,203836
1132,2022,BUR,64432
1133,2022,CC,116600
1134,2022,CE,217757
1135,2022,CED,237252
1136,2022,CH,68917
1137,2022,CL,732038
1138,2022,CS,128467
1139,2022,DA,225709
1140,2022,DM,401716
1141,2022,DO,119424
1142,2022,DP,288495
1143,2022,DR,94405
1144,2022,DS,8017
1145,2022,DT,57890
1146,2022,DU,154485
1147,2022,EA,359551
1148,2022,EB,76420
1149,2022,EG,34926
1150,2022,EN,279998
1151,2022,ES,136581
1152,2022,FH,143551
1153,2022,FO,180341
1154,2022,FP,66808
1155,2022,FV,447214
1156,2022,GE,99785
1157,2022,GHP,118150
1158,2022,GW,63224
1159,2022,HB,83126
1160,2022,HC,87911
1161,2022,HIL,181066
1162,2022,HLS,112093
1163,2022,HP,200102
1164,2022,HS,33951
1165,2022,HW,29362
1166,2022,IL,4433
1167,2022,JD,200464
1168,2022,JO,108010
1169,2022,JS,70105
1170,2022,KE,110971
1171,2022,LB,90655
1172,2022,LD,26
1173,2022,LE,282606
1174,2022,LO,162948
1175,2022,LS,237732
1176,2022,MA,225908
1177,2022,MAL,210714
1178,2022,MAS,138093
1179,2022,MCG,101179
1180,2022,MD,73517
1181,2022,ME,11
1182,2022,MI,161819
1183,2022,MP,10191
1184,2022,MRV,55037
1185,2022,MS,143361
1186,2022,ND,380855
1187,2022,NE,46726
1188,2022,NT,78132
1189,2022,OS,44
1190,2022,OV,110991
1191,2022,PA,268749
1192,2022,PE,60143
1193,2022,PK,279390
1194,2022,PL,177165
1195,2022,PM,184670
1196,2022,PR,86453
1197,2022,PU,109801
1198,2022,PV,100288
1199,2022,QS,73086
1200,2022,RD,171092
1201,2022,RI,398376
1202,2022,RN,362744
1203,2022,RX,35307
1204,2022,SA,102407
1205,2022,SB,5519
1206,2022,SC,134117
1207,2022,SI,44750
1208,2022,SJ,81061
1209,2022,SL,146566
1210,2022,SP,72202
1211,2022,ST,132901
1212,2022,SW,16345
1213,2022,SWS,338947
1214,2022,TA,78732
1215,2022,TH,91727
1216,2022,TOD,20919
1217,2022,TRL,239509
1218,2022,VIR,10798160
1219,2022,VV,49054
1220,2022,WE,78666
1221,2022,WP,35084
1222,2022,WS,176330
1223,2022,WY,47953
1224,2022,YO,142124
1225,2022,YW,43695
