_id,Year,BranchCode,Visits
1,2012,AB,522309
2,2012,ACD,214076
3,2012,AD,88065
4,2012,AG,434320
5,2012,AH,67184
6,2012,AN,96885
7,2012,AP,74678
8,2012,BB,61252
9,2012,BC,95843
10,2012,BD,62326
11,2012,BE,235687
12,2012,BF,353141
13,2012,BKONE,39749
14,2012,BL,373581
15,2012,BR,40479
16,2012,BRW,392397
17,2012,BUR,151087
18,2012,CC,89195
19,2012,CE,143138
20,2012,CED,415753
21,2012,CH,215588
22,2012,CL,1493796
23,2012,CS,120622
24,2012,DA,168594
25,2012,DM,248880
26,2012,DO,339600
27,2012,DP,229132
28,2012,DR,133892
29,2012,DT,40644
30,2012,DU,117090
31,2012,EA,205341
32,2012,EB,54894
33,2012,EG,51552
34,2012,EN,188863
35,2012,ES,220158
36,2012,FH,93424
37,2012,FP,150663
38,2012,FV,442214
39,2012,GE,104885
40,2012,GHP,205973
41,2012,GW,58289
42,2012,HB,59603
43,2012,HC,80642
44,2012,HIL,150059
45,2012,HP,164444
46,2012,HS,51300
47,2012,HW,209196
48,2012,JD,165105
49,2012,JO,87163
50,2012,JS,95315
51,2012,KE,117782
52,2012,LB,53681
53,2012,LE,134816
54,2012,LO,181942
55,2012,LS,370557
56,2012,MA,127129
57,2012,MAL,358262
58,2012,MAS,242057
59,2012,MCG,132919
60,2012,ME,7612
61,2012,MI,93400
62,2012,MP,66278
63,2012,MRV,168413
64,2012,MS,119263
65,2012,ND,407488
66,2012,NE,39158
67,2012,NT,88266
68,2012,OS,9372
69,2012,OV,79205
70,2012,PA,279483
71,2012,PE,35235
72,2012,PK,315734
73,2012,PL,205094
74,2012,PM,119602
75,2012,PU,134834
76,2012,PV,103343
77,2012,QS,60209
78,2012,RD,231360
79,2012,RI,421962
80,2012,RN,325843
81,2012,RX,45502
82,2012,SA,352949
83,2012,SB,21484
84,2012,SI,41997
85,2012,SJ,198384
86,2012,SL,99144
87,2012,SP,92352
88,2012,ST,210047
89,2012,SW,20256
90,2012,SWS,254166
91,2012,TA,40929
92,2012,TH,205064
93,2012,TOD,21401
94,2012,TRL,1137016
95,2012,VV,65984
96,2012,WE,84777
97,2012,WP,35561
98,2012,WS,488396
99,2012,WY,107079
100,2012,YO,208985
101,2012,YW,212775
102,2013,AB,432525
103,2013,ACD,222012
104,2013,AD,96088
105,2013,AG,451500
106,2013,AH,68925
107,2013,AN,79655
108,2013,AP,53300
109,2013,BB,60825
110,2013,BC,82713
111,2013,BD,72446
112,2013,BE,215213
113,2013,BF,364175
114,2013,BKONE,31488
115,2013,BL,367025
116,2013,BR,247650
117,2013,BRW,399650
118,2013,BUR,144500
119,2013,CC,80800
120,2013,CE,138425
121,2013,CED,405263
122,2013,CH,219213
123,2013,CL,1690775
124,2013,CS,112175
125,2013,DA,158188
126,2013,DM,239838
127,2013,DO,153000
128,2013,DP,225188
129,2013,DR,123463
130,2013,DT,39263
131,2013,DU,121688
132,2013,EA,214193
133,2013,EB,55800
134,2013,EG,60925
135,2013,EN,205213
136,2013,ES,217688
137,2013,FH,90188
138,2013,FP,150363
139,2013,GE,99125
140,2013,GHP,184713
141,2013,GW,51138
142,2013,HB,53538
143,2013,HC,60375
144,2013,HIL,222063
145,2013,HP,235163
146,2013,HS,48263
147,2013,HW,212738
148,2013,JD,168775
149,2013,JO,75250
150,2013,JS,115425
151,2013,KE,117338
152,2013,LB,54113
153,2013,LE,160863
154,2013,LO,179513
155,2013,LS,354888
156,2013,MA,107346
157,2013,MAL,385150
158,2013,MAS,208021
159,2013,MCG,128400
160,2013,MD,57388
161,2013,ME,8300
162,2013,MI,83468
163,2013,MP,72363
164,2013,MRV,150788
165,2013,MS,135475
166,2013,ND,328400
167,2013,NE,41188
168,2013,NT,88600
169,2013,OS,5825
170,2013,OV,84013
171,2013,PA,257275
172,2013,PE,40100
173,2013,PK,345738
174,2013,PL,208063
175,2013,PM,115625
176,2013,PU,127775
177,2013,PV,186250
178,2013,QS,70725
179,2013,RD,226400
180,2013,RI,409390
181,2013,RN,283238
182,2013,RX,46325
183,2013,SA,290300
184,2013,SB,19200
185,2013,SI,31100
186,2013,SJ,192963
187,2013,SL,114900
188,2013,SP,78583
189,2013,ST,160538
190,2013,SW,19688
191,2013,SWS,262125
192,2013,TA,36375
193,2013,TH,203338
194,2013,TOD,17500
195,2013,TRL,1226659
196,2013,VV,41950
197,2013,WE,87500
198,2013,WP,30575
199,2013,WS,471800
200,2013,WY,114613
201,2013,YO,191050
202,2013,YW,208388
203,2014,AB,401819
204,2014,ACD,285428
205,2014,AD,102875
206,2014,AG,424457
207,2014,AH,67675
208,2014,AN,95263
209,2014,AP,56313
210,2014,BB,93375
211,2014,BC,91963
212,2014,BD,72650
213,2014,BE,186600
214,2014,BF,356077
215,2014,BKONE,23813
216,2014,BL,355250
217,2014,BR,234008
218,2014,BRW,420963
219,2014,BUR,107200
220,2014,CC,80175
221,2014,CE,125613
222,2014,CED,366123
223,2014,CH,201288
224,2014,CL,1561767
225,2014,CS,112413
226,2014,DA,146013
227,2014,DM,280151
228,2014,DO,168733
229,2014,DP,275813
230,2014,DR,121325
231,2014,DT,42150
232,2014,DU,106788
233,2014,EA,223854
234,2014,EB,49750
235,2014,EG,56200
236,2014,EN,146697
237,2014,ES,205025
238,2014,FH,93575
239,2014,FO,96613
240,2014,FP,146247
241,2014,FV,191404
242,2014,GE,95775
243,2014,GHP,202833
244,2014,GW,45950
245,2014,HB,66263
246,2014,HC,81538
247,2014,HIL,128975
248,2014,HP,194450
249,2014,HS,49413
250,2014,HW,161325
251,2014,JD,158938
252,2014,JO,80275
253,2014,JS,94250
254,2014,KE,106838
255,2014,LB,55625
256,2014,LE,144900
257,2014,LO,179275
258,2014,LS,352151
259,2014,MA,123450
260,2014,MAL,347883
261,2014,MAS,197358
262,2014,MCG,123663
263,2014,MD,82625
264,2014,ME,9163
265,2014,MI,94434
266,2014,MP,63575
267,2014,MRV,151875
268,2014,MS,124575
269,2014,ND,299729
270,2014,NE,34300
271,2014,NT,91293
272,2014,OS,6800
273,2014,OV,86450
274,2014,PA,239357
275,2014,PE,43838
276,2014,PK,348589
277,2014,PL,198530
278,2014,PM,109425
279,2014,PU,117025
280,2014,PV,100388
281,2014,QS,65850
282,2014,RD,203900
283,2014,RI,553673
284,2014,RN,364788
285,2014,RX,51613
286,2014,SA,268350
287,2014,SB,15950
288,2014,SI,31188
289,2014,SJ,182788
290,2014,SL,110738
291,2014,SP,78683
292,2014,ST,145800
293,2014,SW,17575
294,2014,SWS,254470
295,2014,TA,36263
296,2014,TH,194913
297,2014,TOD,25938
298,2014,TRL,1247697
299,2014,VV,37750
300,2014,WE,94875
301,2014,WP,37725
302,2014,WS,439963
303,2014,WY,105900
304,2014,YO,177013
305,2014,YW,225983
306,2015,AB,194587
307,2015,ACD,277118
308,2015,AD,101250
309,2015,AG,397421
310,2015,AH,67038
311,2015,AN,117375
312,2015,AP,51313
313,2015,BB,75938
314,2015,BC,89425
315,2015,BD,65550
316,2015,BE,185450
317,2015,BF,264647
318,2015,BKONE,18900
319,2015,BL,362150
320,2015,BR,232857
321,2015,BRW,380100
322,2015,BUR,99100
323,2015,CC,79300
324,2015,CE,118613
325,2015,CED,352780
326,2015,CH,197250
327,2015,CL,1538044
328,2015,CS,123950
329,2015,DA,158113
330,2015,DM,267097
331,2015,DO,174447
332,2015,DP,247425
333,2015,DR,114925
334,2015,DT,39975
335,2015,DU,105000
336,2015,EA,226512
337,2015,EB,45000
338,2015,EG,52900
339,2015,EN,171555
340,2015,ES,202550
341,2015,FH,101125
342,2015,FO,180200
343,2015,FP,191338
344,2015,FV,426072
345,2015,GE,94525
346,2015,GHP,179312
347,2015,GW,45763
348,2015,HB,51825
349,2015,HC,69713
350,2015,HIL,108500
351,2015,HP,185788
352,2015,HS,46888
353,2015,HW,109813
354,2015,JD,150800
355,2015,JO,75850
356,2015,JS,103250
357,2015,KE,110675
358,2015,LB,53775
359,2015,LE,147050
360,2015,LO,169263
361,2015,LS,317780
362,2015,MA,116263
363,2015,MAL,362833
364,2015,MAS,205793
365,2015,MCG,125177
366,2015,MD,80588
367,2015,ME,8113
368,2015,MI,94488
369,2015,MP,62863
370,2015,MRV,167575
371,2015,MS,91163
372,2015,ND,306319
373,2015,NE,35163
374,2015,NT,73324
375,2015,OS,4813
376,2015,OV,72713
377,2015,PA,229683
378,2015,PE,34938
379,2015,PK,430586
380,2015,PL,245031
381,2015,PM,93588
382,2015,PU,107850
383,2015,PV,74638
384,2015,QS,58850
385,2015,RD,198713
386,2015,RI,422923
387,2015,RN,473488
388,2015,RX,53825
389,2015,SA,250775
390,2015,SB,15550
391,2015,SC,83038
392,2015,SI,29788
393,2015,SJ,177063
394,2015,SL,103806
395,2015,SP,88788
396,2015,ST,161988
397,2015,SW,17988
398,2015,SWS,244873
399,2015,TA,41388
400,2015,TH,189550
401,2015,TOD,28400
402,2015,TRL,1310779
403,2015,VV,32275
404,2015,WE,89225
405,2015,WP,41450
406,2015,WS,405225
407,2015,WY,116525
408,2015,YO,157850
409,2015,YW,220492
410,2016,AB,208251
411,2016,ACD,310244
412,2016,AD,99865
413,2016,AG,313157
414,2016,AH,67355
415,2016,AN,114135
416,2016,AP,56483
417,2016,BB,71442
418,2016,BC,107969
419,2016,BD,57910
420,2016,BE,187288
421,2016,BF,234632
422,2016,BKONE,18828
423,2016,BL,364124
424,2016,BR,248601
425,2016,BRW,423004
426,2016,BUR,92664
427,2016,CC,69148
428,2016,CE,124345
429,2016,CED,363118
430,2016,CH,198786
431,2016,CL,1347718
432,2016,CS,103681
433,2016,DA,173523
434,2016,DM,258252
435,2016,DO,206115
436,2016,DP,281764
437,2016,DR,100748
438,2016,DT,35844
439,2016,DU,104307
440,2016,EA,239521
441,2016,EB,47231
442,2016,EG,47549
443,2016,EN,175117
444,2016,ES,106859
445,2016,FH,108116
446,2016,FO,179705
447,2016,FP,176366
448,2016,FV,518674
449,2016,GE,98279
450,2016,GHP,178752
451,2016,GW,59634
452,2016,HB,45753
453,2016,HC,63785
454,2016,HIL,119386
455,2016,HP,204908
456,2016,HS,58365
457,2016,HW,138709
458,2016,JD,158532
459,2016,JO,82480
460,2016,JS,94976
461,2016,KE,87203
462,2016,LB,57181
463,2016,LE,157136
464,2016,LO,188439
465,2016,LS,331193
466,2016,MA,113091
467,2016,MAL,348081
468,2016,MAS,231078
469,2016,MCG,134570
470,2016,MD,84210
471,2016,ME,10148
472,2016,MI,99232
473,2016,MP,66950
474,2016,MRV,203955
475,2016,MS,101804
476,2016,ND,364658
477,2016,NE,33536
478,2016,NT,59758
479,2016,OS,12416
480,2016,OV,85169
481,2016,PA,236930
482,2016,PE,46514
483,2016,PK,352888
484,2016,PL,238566
485,2016,PM,107896
486,2016,PU,98121
487,2016,PV,78629
488,2016,QS,66399
489,2016,RD,195261
490,2016,RI,296948
491,2016,RN,287359
492,2016,RX,51075
493,2016,SA,234299
494,2016,SB,18673
495,2016,SC,175181
496,2016,SI,30566
497,2016,SJ,174275
498,2016,SL,115189
499,2016,SP,86768
500,2016,ST,168942
501,2016,SW,20580
502,2016,SWS,251375
503,2016,TA,40691
504,2016,TH,215864
505,2016,TOD,25246
506,2016,TRL,1462894
507,2016,VV,42402
508,2016,WE,99950
509,2016,WP,54098
510,2016,WS,441229
511,2016,WY,143043
512,2016,YO,148942
513,2016,YW,209768
514,2017,AB,260950
515,2017,ACD,356374
516,2017,AD,97083
517,2017,AG,326233
518,2017,AH,73163
519,2017,AN,126645
520,2017,AP,25865
521,2017,BB,73732
522,2017,BC,102627
523,2017,BD,50632
524,2017,BE,213974
525,2017,BF,248990
526,2017,BKONE,16034
527,2017,BL,360508
528,2017,BR,267983
529,2017,BRW,429296
530,2017,BUR,84899
531,2017,CC,65757
532,2017,CE,177412
533,2017,CED,384227
534,2017,CH,195475
535,2017,CL,342972
536,2017,CS,103458
537,2017,DA,175012
538,2017,DM,257738
539,2017,DO,230231
540,2017,DP,281482
541,2017,DR,96392
542,2017,DT,34954
543,2017,DU,103822
544,2017,EA,238477
545,2017,EB,48985
546,2017,EG,48477
547,2017,EN,226109
548,2017,ES,131313
549,2017,FH,117222
550,2017,FO,169371
551,2017,FP,156265
552,2017,FV,566666
553,2017,GE,104259
554,2017,GHP,175028
555,2017,GW,62890
556,2017,HB,46188
557,2017,HC,60785
558,2017,HIL,116053
559,2017,HP,203854
560,2017,HS,24575
561,2017,HW,120153
562,2017,JD,163511
563,2017,JO,81100
564,2017,JS,87221
565,2017,KE,92895
566,2017,LB,50700
567,2017,LE,157550
568,2017,LO,215365
569,2017,LS,319555
570,2017,MA,120433
571,2017,MAL,331665
572,2017,MAS,234462
573,2017,MCG,127230
574,2017,MD,88386
575,2017,ME,13069
576,2017,MI,92721
577,2017,MP,59793
578,2017,MRV,157983
579,2017,MS,100674
580,2017,ND,391543
581,2017,NE,34143
582,2017,NT,59211
583,2017,OS,16250
584,2017,OV,94240
585,2017,PA,233308
586,2017,PE,53451
587,2017,PK,337974
588,2017,PL,227666
589,2017,PM,112115
590,2017,PU,86237
591,2017,PV,79549
592,2017,QS,71094
593,2017,RD,194268
594,2017,RI,252083
595,2017,RN,151817
596,2017,RX,50646
597,2017,SA,228745
598,2017,SB,20808
599,2017,SC,193914
600,2017,SI,24915
601,2017,SJ,169242
602,2017,SL,118778
603,2017,SP,85114
604,2017,ST,156659
605,2017,SW,38627
606,2017,SWS,262097
607,2017,TA,35466
608,2017,TH,197227
609,2017,TOD,28939
610,2017,TRL,1604864
611,2017,VV,43446
612,2017,WE,92943
613,2017,WP,58297
614,2017,WS,402862
615,2017,WY,133540
616,2017,YO,152520
617,2017,YW,200531
618,2018,AB,327977
619,2018,ACD,340522
620,2018,AD,100886
621,2018,AG,368837
622,2018,AH,73829
623,2018,AN,102239
624,2018,AP,51242
625,2018,BB,73308
626,2018,BC,98278
627,2018,BD,51489
628,2018,BE,207052
629,2018,BF,246900
630,2018,BKONE,13516
631,2018,BL,369395
632,2018,BR,257933
633,2018,BRW,434621
634,2018,BUR,81913
635,2018,CC,65876
636,2018,CE,157112
637,2018,CED,355089
638,2018,CH,197005
639,2018,CL,830485
640,2018,CS,101932
641,2018,DA,169976
642,2018,DM,253090
643,2018,DO,231580
644,2018,DP,289666
645,2018,DR,89637
646,2018,DT,37506
647,2018,DU,111761
648,2018,EA,232419
649,2018,EB,45807
650,2018,EG,46693
651,2018,EN,202545
652,2018,ES,251189
653,2018,FH,113245
654,2018,FO,190668
655,2018,FP,139776
656,2018,FV,546827
657,2018,GE,99576
658,2018,GHP,164412
659,2018,GW,57017
660,2018,HB,44973
661,2018,HC,57664
662,2018,HIL,116494
663,2018,HP,200533
664,2018,HS,35770
665,2018,HW,101360
666,2018,JD,154666
667,2018,JO,78623
668,2018,JS,83508
669,2018,KE,81014
670,2018,LB,53829
671,2018,LE,162265
672,2018,LO,206804
673,2018,LS,327094
674,2018,MA,122506
675,2018,MAL,294944
676,2018,MAS,216570
677,2018,MCG,122591
678,2018,MD,80819
679,2018,ME,14550
680,2018,MI,91352
681,2018,MP,62333
682,2018,MRV,137412
683,2018,MS,102939
684,2018,ND,373362
685,2018,NE,33315
686,2018,NT,55870
687,2018,OS,19171
688,2018,OV,98891
689,2018,PA,230567
690,2018,PE,55219
691,2018,PK,333245
692,2018,PL,225922
693,2018,PM,103023
694,2018,PU,84874
695,2018,PV,66616
696,2018,QS,68578
697,2018,RD,180916
698,2018,RI,275100
699,2018,RN,284820
700,2018,RX,40274
701,2018,SA,223279
702,2018,SB,15883
703,2018,SC,191703
704,2018,SJ,157596
705,2018,SL,117556
706,2018,SP,85974
707,2018,ST,55838
708,2018,SW,20826
709,2018,SWS,259975
710,2018,TA,34784
711,2018,TH,194581
712,2018,TOD,28888
713,2018,TRL,1594315
714,2018,VV,42043
715,2018,WE,91230
716,2018,WP,58068
717,2018,WS,373195
718,2018,WY,62229
719,2018,YO,137585
720,2018,YW,170623
721,2019,AB,337559
722,2019,ACD,229609
723,2019,AD,100412
724,2019,AG,356784
725,2019,AH,72816
726,2019,AN,97246
727,2019,AP,56893
728,2019,BB,77106
729,2019,BC,107777
730,2019,BD,48541
731,2019,BE,198067
732,2019,BF,235589
733,2019,BKONE,12221
734,2019,BL,363692
735,2019,BR,205226
736,2019,BRW,404356
737,2019,BUR,85122
738,2019,CC,67906
739,2019,CE,134067
740,2019,CED,355086
741,2019,CH,202935
742,2019,CL,1398539
743,2019,CS,103210
744,2019,DA,166953
745,2019,DM,212850
746,2019,DO,139493
747,2019,DP,280295
748,2019,DR,88804
749,2019,DT,36185
750,2019,DU,109667
751,2019,EA,225560
752,2019,EB,45225
753,2019,EG,43655
754,2019,EN,171685
755,2019,ES,261247
756,2019,FH,107435
757,2019,FO,196094
758,2019,FP,157505
759,2019,FV,514987
760,2019,GE,100212
761,2019,GHP,153844
762,2019,GW,26595
763,2019,HB,47611
764,2019,HC,56329
765,2019,HIL,110800
766,2019,HP,217479
767,2019,HS,40175
768,2019,HW,94909
769,2019,JD,158197
770,2019,JO,75303
771,2019,JS,89668
772,2019,KE,75312
773,2019,LB,55632
774,2019,LE,157656
775,2019,LO,204120
776,2019,LS,262069
777,2019,MA,118568
778,2019,MAL,275220
779,2019,MAS,210369
780,2019,MCG,120802
781,2019,MD,77877
782,2019,ME,10997
783,2019,MI,85449
784,2019,MP,61718
785,2019,MRV,126402
786,2019,MS,109795
787,2019,ND,357327
788,2019,NE,32994
789,2019,NT,53786
790,2019,OS,13582
791,2019,OV,99154
792,2019,PA,215656
793,2019,PE,52157
794,2019,PK,181068
795,2019,PL,98771
796,2019,PM,104919
797,2019,PU,82062
798,2019,PV,73267
799,2019,QS,69777
800,2019,RD,180229
801,2019,RI,298478
802,2019,RN,291820
803,2019,RX,39099
804,2019,SA,228261
805,2019,SB,18103
806,2019,SC,197245
807,2019,SI,10366
808,2019,SJ,182887
809,2019,SL,133158
810,2019,SP,85425
811,2019,ST,162606
812,2019,SW,23836
813,2019,SWS,247041
814,2019,TA,26401
815,2019,TH,183994
816,2019,TOD,34029
817,2019,TRL,1507185
818,2019,VV,42414
819,2019,WE,93178
820,2019,WP,65661
821,2019,WS,362674
822,2019,YO,134385
823,2019,YW,134259
824,2020,AB,83718
825,2020,ACD,1607
826,2020,AD,20644
827,2020,AG,81923
828,2020,AH,16702
829,2020,AN,47198
830,2020,AP,19491
831,2020,BB,35675
832,2020,BC,26946
833,2020,BD,20062
834,2020,BE,77328
835,2020,BF,94156
836,2020,BKONE,4714
837,2020,BL,131749
838,2020,BR,83955
839,2020,BRW,84002
840,2020,BUR,15949
841,2020,CC,24853
842,2020,CE,52001
843,2020,CED,104056
844,2020,CH,39487
845,2020,CL,456052
846,2020,CS,40324
847,2020,DA,71877
848,2020,DM,90920
849,2020,DO,60744
850,2020,DP,98871
851,2020,DR,39629
852,2020,DT,7552
853,2020,DU,47531
854,2020,EA,87220
855,2020,EB,15484
856,2020,EG,16214
857,2020,EN,45962
858,2020,ES,68291
859,2020,FH,61033
860,2020,FO,65438
861,2020,FP,41276
862,2020,FV,157316
863,2020,GE,27205
864,2020,GHP,43959
865,2020,GW,22876
866,2020,HB,9187
867,2020,HC,21700
868,2020,HIL,38782
869,2020,HP,89789
870,2020,HS,12252
871,2020,HW,21521
872,2020,JD,58094
873,2020,JO,32163
874,2020,JS,38069
875,2020,KE,28212
876,2020,LB,25011
877,2020,LE,64348
878,2020,LO,81105
879,2020,LS,97500
880,2020,MA,55649
881,2020,MAL,90922
882,2020,MAS,67788
883,2020,MCG,39622
884,2020,MD,33095
885,2020,ME,3060
886,2020,MI,34626
887,2020,MP,12178
888,2020,MRV,26320
889,2020,MS,45944
890,2020,ND,85226
891,2020,NE,18821
892,2020,NT,19076
893,2020,OS,6169
894,2020,OV,26462
895,2020,PA,74252
896,2020,PE,10486
897,2020,PK,116458
898,2020,PL,78685
899,2020,PM,54360
900,2020,PU,17303
901,2020,PV,27866
902,2020,QS,13608
903,2020,RD,41601
904,2020,RI,110394
905,2020,RN,101566
906,2020,RX,9438
907,2020,SA,66395
908,2020,SB,3771
909,2020,SC,70414
910,2020,SI,7623
911,2020,SJ,29787
912,2020,SL,50946
913,2020,SP,17355
914,2020,ST,40686
915,2020,SW,5164
916,2020,SWS,94272
917,2020,TA,23725
918,2020,TH,49448
919,2020,TOD,7135
920,2020,TRL,409542
921,2020,VV,11850
922,2020,WE,44916
923,2020,WP,21041
924,2020,WS,71640
925,2020,YO,30268
926,2020,YW,31075
927,2021,AB,58083
928,2021,ACD,12600
929,2021,AD,19752
930,2021,AG,81572
931,2021,AH,14409
932,2021,AN,46034
933,2021,AP,10868
934,2021,BB,27562
935,2021,BC,17520
936,2021,BD,15747
937,2021,BE,61687
938,2021,BF,61848
939,2021,BKONE,2798
940,2021,BL,85695
941,2021,BR,70833
942,2021,BRW,60079
943,2021,BUR,7251
944,2021,CC,20072
945,2021,CE,46021
946,2021,CED,74951
947,2021,CL,309869
948,2021,CS,29450
949,2021,DA,49549
950,2021,DM,72314
951,2021,DO,51164
952,2021,DP,81154
953,2021,DR,27348
954,2021,DT,2365
955,2021,DU,36152
956,2021,EA,67386
957,2021,EB,13247
958,2021,EG,10334
959,2021,EN,46617
960,2021,ES,53252
961,2021,FH,38232
962,2021,FO,62604
963,2021,FP,33758
964,2021,FV,119530
965,2021,GE,31974
966,2021,GHP,27577
967,2021,GW,15310
968,2021,HB,8097
969,2021,HC,20156
970,2021,HIL,31305
971,2021,HP,69732
972,2021,HS,11305
973,2021,HW,12224
974,2021,JD,43854
975,2021,JO,29392
976,2021,JS,25861
977,2021,KE,29577
978,2021,LB,19250
979,2021,LE,61845
980,2021,LO,64678
981,2021,LS,75630
982,2021,MA,50037
983,2021,MAL,57937
984,2021,MAS,42003
985,2021,MCG,27536
986,2021,MD,30326
987,2021,ME,1
988,2021,MI,28681
989,2021,MRV,24654
990,2021,MS,42315
991,2021,ND,5612
992,2021,NE,13698
993,2021,NT,16522
994,2021,OS,8700
995,2021,OV,5031
996,2021,PA,51921
997,2021,PE,8267
998,2021,PK,82433
999,2021,PL,62707
1000,2021,PM,50269
1001,2021,PU,10688
1002,2021,PV,20003
1003,2021,QS,9916
1004,2021,RD,5710
1005,2021,RI,86957
1006,2021,RN,92865
1007,2021,RX,11666
1008,2021,SA,43987
1009,2021,SB,787
1010,2021,SC,45783
1011,2021,SI,9327
1012,2021,SJ,11312
1013,2021,SL,47209
1014,2021,SP,9654
1015,2021,ST,30057
1016,2021,SWS,73913
1017,2021,TA,16047
1018,2021,TH,16877
1019,2021,TOD,1296
1020,2021,TRL,244641
1021,2021,VV,10639
1022,2021,WE,28589
1023,2021,WP,12922
1024,2021,WS,51362
1025,2021,YO,25840
1026,2021,YW,25317
1027,2022,AB,191320
1028,2022,ACD,59881
1029,2022,AD,47658
1030,2022,AG,137685
1031,2022,AH,18416
1032,2022,AN,43257
1033,2022,AP,28006
1034,2022,BB,54070
1035,2022,BC,43995
1036,2022,BD,29668
1037,2022,BE,122734
1038,2022,BF,142752
1039,2022,BKONE,9356
1040,2022,BL,202438
1041,2022,BR,133221
1042,2022,BRW,199345
1043,2022,BUR,34835
1044,2022,CC,44702
1045,2022,CE,95026
1046,2022,CED,187054
1047,2022,CH,58226
1048,2022,CL,827795
1049,2022,CS,54432
1050,2022,DA,92387
1051,2022,DM,146812
1052,2022,DO,116686
1053,2022,DP,165101
1054,2022,DR,43606
1055,2022,DT,13947
1056,2022,DU,71848
1057,2022,EA,137873
1058,2022,EB,21786
1059,2022,EG,18450
1060,2022,EN,100183
1061,2022,ES,137717
1062,2022,FH,72570
1063,2022,FO,122233
1064,2022,FP,93145
1065,2022,FV,295488
1066,2022,GE,42256
1067,2022,GHP,41524
1068,2022,GW,27047
1069,2022,HB,23300
1070,2022,HC,33550
1071,2022,HIL,50693
1072,2022,HP,106896
1073,2022,HS,20197
1074,2022,HW,29417
1075,2022,JD,87567
1076,2022,JO,41781
1077,2022,JS,55649
1078,2022,KE,75654
1079,2022,LB,30760
1080,2022,LE,107068
1081,2022,LO,68641
1082,2022,LS,169226
1083,2022,MA,88269
1084,2022,MAL,134121
1085,2022,MAS,105100
1086,2022,MCG,51954
1087,2022,MD,72801
1088,2022,ME,6998
1089,2022,MI,55676
1090,2022,MRV,79733
1091,2022,MS,80008
1092,2022,ND,234291
1093,2022,NE,22338
1094,2022,NT,29806
1095,2022,OS,15630
1096,2022,OV,51839
1097,2022,PA,125371
1098,2022,PE,24922
1099,2022,PK,189577
1100,2022,PL,134804
1101,2022,PM,81764
1102,2022,PU,39945
1103,2022,PV,33177
1104,2022,QS,39625
1105,2022,RD,91701
1106,2022,RI,179693
1107,2022,RN,175890
1108,2022,RX,20128
1109,2022,SA,90084
1110,2022,SB,6869
1111,2022,SC,115726
1112,2022,SI,20273
1113,2022,SJ,71045
1114,2022,SL,68345
1115,2022,SP,37150
1116,2022,ST,68224
1117,2022,SW,7707
1118,2022,SWS,162852
1119,2022,TA,23011
1120,2022,TH,77271
1121,2022,TOD,14260
1122,2022,TRL,745217
1123,2022,VV,19859
1124,2022,WE,73630
1125,2022,WP,28304
1126,2022,WS,163061
1127,2022,WY,37001
1128,2022,YO,75390
1129,2022,YW,69116
