datetime,cpu
2025-01-27 18:42,1.14
2025-01-27 18:43,1.1
2025-01-27 18:44,1.09
2025-01-27 18:45,1.08
2025-01-27 18:46,1.08
2025-01-27 18:47,1.08
2025-01-27 18:48,1.15
2025-01-27 18:49,1.13
2025-01-27 18:50,1.09
2025-01-27 18:51,1.06
2025-01-27 18:52,1.04
2025-01-27 18:53,1.03
2025-01-27 18:54,1.01
2025-01-27 18:55,1
2025-01-27 18:56,0.99
2025-01-27 18:57,0.98
2025-01-27 18:58,0.97
2025-01-27 18:59,0.95
2025-01-27 19:00,0.93
2025-01-27 19:01,0.92
2025-01-27 19:02,0.9
2025-01-27 19:03,0.88
2025-01-27 19:04,0.88
2025-01-27 19:05,0.87
2025-01-27 19:06,0.85
2025-01-27 19:07,0.89
2025-01-27 19:08,0.86
2025-01-27 19:09,0.84
2025-01-27 19:10,0.81
2025-01-27 19:11,0.79
2025-01-27 19:12,0.78
2025-01-27 19:13,0.76
2025-01-27 19:14,0.74
2025-01-27 19:15,0.72
2025-01-27 19:16,0.71
2025-01-27 19:17,0.71
2025-01-27 19:18,0.69
2025-01-27 19:19,0.68
2025-01-27 19:20,0.67
2025-01-27 19:21,0.65
2025-01-27 19:22,0.65
2025-01-27 19:23,0.64
2025-01-27 19:24,0.64
2025-01-27 19:25,0.64
2025-01-27 19:26,0.67
2025-01-27 19:27,0.65
2025-01-27 19:28,0.7
2025-01-27 19:29,0.66
2025-01-27 19:30,0.63
2025-01-27 19:31,0.61
2025-01-27 19:32,0.61
2025-01-27 19:33,0.64
2025-01-27 19:34,0.62
2025-01-27 19:35,0.62
2025-01-27 19:36,0.6
2025-01-27 19:37,0.57
2025-01-27 19:38,0.57
2025-01-27 19:39,0.58
2025-01-27 19:40,0.58
2025-01-27 19:41,0.67
2025-01-27 19:42,0.64
2025-01-27 19:43,0.62
2025-01-27 19:44,0.62
2025-01-27 19:45,0.6
2025-01-27 19:46,0.6
2025-01-27 19:47,0.64
2025-01-27 19:48,0.65
2025-01-27 19:49,0.65
2025-01-27 19:50,0.68
2025-01-27 19:51,0.68
2025-01-27 19:52,0.76
2025-01-27 19:53,0.76
2025-01-27 19:54,0.77
2025-01-27 19:55,0.78
2025-01-27 19:56,0.84
2025-01-27 19:57,0.85
2025-01-27 19:58,0.96
2025-01-27 19:59,0.97
2025-01-27 20:00,0.96
2025-01-27 20:01,0.99
2025-01-27 20:02,1.11
2025-01-27 20:03,1.22
2025-01-27 20:04,1.17
2025-01-27 20:05,1.16
2025-01-27 20:06,1.66
2025-01-27 20:07,1.6
2025-01-27 20:08,1.68
2025-01-27 20:09,2.03
2025-01-27 20:10,2.02
2025-01-27 20:11,1.79
2025-01-27 20:12,1.65
2025-01-27 20:13,1.52
2025-01-27 20:14,1.47
2025-01-27 20:15,1.74
2025-01-27 20:16,1.64
2025-01-27 20:17,1.86
2025-01-27 20:18,1.96
2025-01-27 20:19,2.11
2025-01-27 20:20,2.2
2025-01-27 20:21,2.27
2025-01-27 20:22,1.93
2025-01-27 20:23,1.73
2025-01-27 20:24,1.88
2025-01-27 20:25,1.75
2025-01-27 20:26,1.58
2025-01-27 20:27,1.57
2025-01-27 20:28,1.79
2025-01-27 20:29,1.69
2025-01-27 20:30,1.56
2025-01-27 20:31,1.47
2025-01-27 20:32,1.4
2025-01-27 20:33,1.38
2025-01-27 20:34,1.45
2025-01-27 20:35,1.37
2025-01-27 20:36,1.68
2025-01-27 20:37,1.54
2025-01-27 20:38,1.47
2025-01-27 20:39,1.39
2025-01-27 20:40,1.32
2025-01-27 20:41,1.72
2025-01-27 20:42,1.56
2025-01-27 20:43,1.42
2025-01-27 20:44,1.41
2025-01-27 20:45,1.32
2025-01-27 20:46,1.27
2025-01-27 20:47,1.24
2025-01-27 20:48,1.2
2025-01-27 20:49,1.18
2025-01-27 20:50,1.15
2025-01-27 20:51,1.14
2025-01-27 20:52,1.17
2025-01-27 20:53,1.15
2025-01-27 20:54,1.12
2025-01-27 20:55,1.11
2025-01-27 20:56,1.44
2025-01-27 20:57,1.73
2025-01-27 20:58,1.53
2025-01-27 20:59,1.37
2025-01-27 21:00,1.33
2025-01-27 21:01,1.23
2025-01-27 21:02,1.19
2025-01-27 21:03,1.16
2025-01-27 21:04,1.14
2025-01-27 21:05,1.11
2025-01-27 21:06,1.07
2025-01-27 21:07,1.05
2025-01-27 21:08,1.1
2025-01-27 21:09,1.08
2025-01-27 21:10,1.05
2025-01-27 21:11,1.12
2025-01-27 21:12,1.19
2025-01-27 21:13,1.13
2025-01-27 21:14,1.08
2025-01-27 21:15,1.04
2025-01-27 21:16,1.09
2025-01-27 21:17,1.04
2025-01-27 21:18,1
2025-01-27 21:19,0.97
2025-01-27 21:20,0.94
2025-01-27 21:21,0.93
2025-01-27 21:22,0.93
2025-01-27 21:23,0.93
2025-01-27 21:24,0.99
2025-01-27 21:25,0.96
2025-01-27 21:26,0.98
2025-01-27 21:27,0.94
2025-01-27 21:28,0.91
2025-01-27 21:29,0.91
2025-01-27 21:30,0.9
2025-01-27 21:31,0.86
2025-01-27 21:32,0.91
2025-01-27 21:33,0.86
2025-01-27 21:34,0.84
2025-01-27 21:35,0.81
2025-01-27 21:36,0.79
2025-01-27 21:37,0.79
2025-01-27 21:38,0.78
2025-01-27 21:39,0.76
2025-01-27 21:40,0.74
2025-01-27 21:41,0.73
2025-01-27 21:42,0.78
2025-01-27 21:43,0.74
2025-01-27 21:44,0.72
2025-01-27 21:45,0.7
2025-01-27 21:46,0.68
2025-01-27 21:47,0.65
2025-01-27 21:48,0.65
2025-01-27 21:49,0.64
2025-01-27 21:50,0.7
2025-01-27 21:51,0.74
2025-01-27 21:52,0.78
2025-01-27 21:53,0.79
2025-01-27 21:54,0.74
2025-01-27 21:55,0.72
2025-01-27 21:56,0.69
2025-01-27 21:57,0.71
2025-01-27 21:58,0.66
2025-01-27 21:59,0.63
2025-01-27 22:00,0.61
2025-01-27 22:01,0.61
2025-01-27 22:02,0.7
2025-01-27 22:03,0.67
2025-01-27 22:04,0.65
2025-01-27 22:05,0.65
2025-01-27 22:06,0.66
2025-01-27 22:07,0.65
2025-01-27 22:08,0.65
2025-01-27 22:09,0.65
2025-01-27 22:10,0.74
2025-01-27 22:11,0.73
2025-01-27 22:12,0.71
2025-01-27 22:13,0.69
2025-01-27 22:14,0.68
2025-01-27 22:15,0.71
2025-01-27 22:16,0.73
2025-01-27 22:17,0.76
2025-01-27 22:18,0.84
2025-01-27 22:19,0.82
2025-01-27 22:20,0.82
2025-01-27 22:21,0.83
2025-01-27 22:22,0.86
2025-01-27 22:23,0.88
2025-01-27 22:24,0.9
2025-01-27 22:25,0.92
2025-01-27 22:26,1.02
2025-01-27 22:27,1.03
2025-01-27 22:28,1.32
2025-01-27 22:29,1.41
2025-01-27 22:30,1.4
2025-01-27 22:31,1.36
2025-01-27 22:32,1.36
2025-01-27 22:33,1.3
2025-01-27 22:34,1.29
2025-01-27 22:35,1.27
2025-01-27 22:36,1.31
2025-01-27 22:37,1.32
2025-01-27 22:38,1.35
2025-01-27 22:39,1.8
2025-01-27 22:40,2.28
2025-01-27 22:41,2.01
2025-01-27 22:42,1.87
2025-01-27 22:43,1.72
2025-01-27 22:44,2.03
2025-01-27 22:45,1.8
2025-01-27 22:46,2.05
2025-01-27 22:47,2.18
2025-01-27 22:48,1.92
2025-01-27 22:49,1.78
2025-01-27 22:50,1.64
2025-01-27 22:51,1.54
2025-01-27 22:52,1.53
2025-01-27 22:53,1.58
2025-01-27 22:54,1.87
2025-01-27 22:55,1.74
2025-01-27 22:56,1.72
2025-01-27 22:57,1.7
2025-01-27 22:58,1.59
2025-01-27 22:59,1.85
2025-01-27 23:00,1.8
2025-01-27 23:01,1.65
2025-01-27 23:02,1.51
2025-01-27 23:03,1.47
2025-01-27 23:04,1.44
2025-01-27 23:05,1.42
2025-01-27 23:06,1.72
2025-01-27 23:07,1.59
2025-01-27 23:08,1.58
2025-01-27 23:09,1.5
2025-01-27 23:10,1.42
2025-01-27 23:11,1.43
2025-01-27 23:12,1.38
2025-01-27 23:13,1.32
2025-01-27 23:14,1.31
2025-01-27 23:15,1.33
2025-01-27 23:16,1.34
2025-01-27 23:17,1.39
2025-01-27 23:18,1.37
2025-01-27 23:19,1.31
2025-01-27 23:20,1.59
2025-01-27 23:21,1.93
2025-01-27 23:22,1.79
2025-01-27 23:23,1.62
2025-01-27 23:24,1.75
2025-01-27 23:25,1.6
2025-01-27 23:26,1.59
2025-01-27 23:27,1.46
2025-01-27 23:28,1.4
2025-01-27 23:29,1.35
2025-01-27 23:30,1.28
2025-01-27 23:31,1.23
2025-01-27 23:32,1.24
2025-01-27 23:33,1.29
2025-01-27 23:34,1.25
2025-01-27 23:35,1.28
2025-01-27 23:36,1.31
2025-01-27 23:37,1.27
2025-01-27 23:38,1.41
2025-01-27 23:39,1.41
2025-01-27 23:40,1.67
2025-01-27 23:41,1.48
2025-01-27 23:42,1.35
2025-01-27 23:43,1.27
2025-01-27 23:44,1.24
2025-01-27 23:45,1.2
2025-01-27 23:46,1.23
2025-01-27 23:47,1.22
2025-01-27 23:48,1.15
2025-01-27 23:49,1.14
2025-01-27 23:50,1.21
2025-01-27 23:51,1.16
2025-01-27 23:52,1.11
2025-01-27 23:53,1.09
2025-01-27 23:54,1.07
2025-01-27 23:55,1.04
2025-01-27 23:56,1.02
2025-01-27 23:57,1.08
2025-01-27 23:58,1.04
2025-01-27 23:59,0.99
2025-01-28 00:00,0.95
2025-01-28 00:01,0.92
2025-01-28 00:02,0.88
2025-01-28 00:03,0.85
2025-01-28 00:04,0.84
2025-01-28 00:05,0.84
2025-01-28 00:06,0.95
2025-01-28 00:07,0.88
2025-01-28 00:08,0.85
2025-01-28 00:09,0.94
2025-01-28 00:10,0.87
2025-01-28 00:11,0.81
2025-01-28 00:12,0.78
2025-01-28 00:13,0.75
2025-01-28 00:14,0.73
2025-01-28 00:15,0.7
2025-01-28 00:16,0.75
2025-01-28 00:17,0.71
2025-01-28 00:18,0.69
2025-01-28 00:19,0.68
2025-01-28 00:20,0.69
2025-01-28 00:21,0.68
2025-01-28 00:22,0.68
2025-01-28 00:23,0.68
2025-01-28 00:24,0.69
2025-01-28 00:25,0.75
2025-01-28 00:26,0.77
2025-01-28 00:27,0.72
2025-01-28 00:28,0.7
2025-01-28 00:29,0.7
2025-01-28 00:30,0.7
2025-01-28 00:31,0.79
2025-01-28 00:32,0.77
2025-01-28 00:33,0.77
2025-01-28 00:34,0.77
2025-01-28 00:35,0.79
2025-01-28 00:36,0.82
2025-01-28 00:37,0.84
2025-01-28 00:38,0.87
2025-01-28 00:39,0.99
2025-01-28 00:40,1.02
2025-01-28 00:41,1.02
2025-01-28 00:42,1.04
2025-01-28 00:43,1.06
2025-01-28 00:44,1.1
2025-01-28 00:45,1.48
2025-01-28 00:46,1.51
2025-01-28 00:47,1.53
2025-01-28 00:48,1.53
2025-01-28 00:49,1.53
2025-01-28 00:50,1.79
2025-01-28 00:51,1.66
2025-01-28 00:52,1.86
2025-01-28 00:53,2.04
2025-01-28 00:54,1.87
2025-01-28 00:55,1.84
2025-01-28 00:56,2.45
2025-01-28 00:57,2.48
2025-01-28 00:58,2.2
2025-01-28 00:59,1.92
2025-01-28 01:00,2.13
2025-01-28 01:01,1.87
2025-01-28 01:02,2.13
2025-01-28 01:03,2.23
2025-01-28 01:04,2.03
2025-01-28 01:05,2.14
2025-01-28 01:06,1.92
2025-01-28 01:07,2.15
2025-01-28 01:08,1.95
2025-01-28 01:09,1.75
2025-01-28 01:10,1.93
2025-01-28 01:11,2.13
2025-01-28 01:12,2.17
2025-01-28 01:13,2.24
2025-01-28 01:14,2.4
2025-01-28 01:15,2.11
2025-01-28 01:16,2.18
2025-01-28 01:17,1.97
2025-01-28 01:18,2.1
2025-01-28 01:19,2.53
2025-01-28 01:20,2.55
2025-01-28 01:21,2.45
2025-01-28 01:22,2.2
2025-01-28 01:23,2.26
2025-01-28 01:24,1.93
2025-01-28 01:25,1.77
2025-01-28 01:26,2.07
2025-01-28 01:27,1.88
2025-01-28 01:28,2.34
2025-01-28 01:29,2.44
2025-01-28 01:30,2.19
2025-01-28 01:31,2.04
2025-01-28 01:32,1.98
2025-01-28 01:33,2.07
2025-01-28 01:34,2.48
2025-01-28 01:35,2.45
2025-01-28 01:36,2.4
2025-01-28 01:37,2.41
2025-01-28 01:38,2.16
2025-01-28 01:39,1.93
2025-01-28 01:40,2.14
2025-01-28 01:41,1.96