population,scenario,site,planting_date
p_1,1,1,
p_2,1,1,
p_3,1,1,
p_4,1,1,
p_5,1,1,
p_6,1,1,
p_7,1,1,
p_8,1,1,
p_9,1,1,
p_10,1,1,
p_11,1,1,
p_12,1,1,
p_13,1,1,
p_14,1,1,
p_15,1,1,
p_16,1,1,
p_17,1,1,
p_18,1,1,
p_19,1,1,
p_20,1,1,
p_21,1,1,
p_22,1,1,
p_23,1,1,
p_24,1,1,
p_25,1,1,
p_26,1,1,
p_27,1,1,
p_28,1,1,
p_29,1,1,
p_30,1,1,
p_31,1,1,
p_32,1,1,
p_33,1,1,
p_34,1,1,
p_35,1,1,
p_36,1,1,
p_37,1,1,
p_38,1,1,
p_39,1,1,
p_40,1,1,
p_41,1,1,
p_42,1,1,
p_43,1,1,
p_44,1,1,
p_45,1,1,
p_46,1,1,
p_47,1,1,
p_48,1,1,
p_49,1,1,
p_50,1,1,
p_51,1,1,
p_52,1,1,
p_53,1,1,
p_54,1,1,
p_55,1,1,
p_56,1,0,
p_57,1,0,
p_58,1,0,
p_59,1,0,
p_60,1,0,
p_61,1,0,
p_62,1,0,
p_63,1,0,
p_64,1,0,
p_65,1,0,
p_66,1,0,
p_67,1,0,
p_68,1,0,
p_69,1,0,
p_70,1,0,
p_71,1,0,
p_72,1,1,
p_73,1,1,
p_74,1,1,
p_75,1,1,
p_76,1,1,
p_77,1,1,
p_78,1,1,
p_79,1,1,
p_80,1,1,
p_81,1,1,
p_82,1,1,
p_83,1,1,
p_84,1,1,
p_85,1,1,
p_86,1,1,
p_87,1,1,
p_88,1,1,
p_89,1,1,
p_90,1,1,
p_91,1,1,
p_92,1,1,
p_93,1,1,
p_94,1,1,
p_95,1,1,
p_96,1,1,
p_97,1,1,
p_98,1,1,
p_99,1,1,
p_100,1,1,
p_101,1,1,
p_102,1,1,
p_103,1,1,
p_104,1,1,
p_105,1,1,
p_106,1,1,
p_107,1,1,
p_108,1,1,
p_109,1,1,
p_110,1,1,
p_111,1,1,
p_112,1,1,
p_113,1,0,
p_114,1,0,
p_115,1,0,
p_116,1,0,
p_117,1,0,
p_118,1,0,
p_119,1,0,
p_120,1,0,
p_121,1,0,
p_122,1,0,
p_123,1,0,
p_124,1,0,
p_125,1,0,
p_126,1,0,
p_127,1,0,
p_128,1,0,
p_129,1,0,
p_130,1,0,
p_131,1,0,
p_132,1,0,
p_133,1,0,
p_134,1,0,
p_135,1,0,
p_136,1,0,
p_137,1,0,
p_138,1,0,
p_139,1,0,
p_140,1,0,
p_141,1,0,
p_142,1,0,
p_143,1,0,
p_144,1,0,
p_145,1,0,
p_146,1,0,
p_147,1,0,
p_148,1,0,
p_149,1,0,
p_150,1,0,
p_151,1,0,
p_152,1,0,
p_153,1,0,
p_154,1,0,
p_155,1,0,
p_156,1,0,
p_157,1,0,
p_158,1,0,
p_159,1,0,
p_160,1,0,
p_161,1,0,
p_162,1,0,
p_163,1,0,
p_164,1,0,
p_165,1,0,
p_166,1,0,
p_167,1,0,
p_168,1,0,
p_169,1,0,
p_170,1,0,
p_171,1,0,
p_172,1,0,
p_173,1,0,
p_174,1,0,
p_175,1,0,
p_176,1,0,
p_177,1,0,
p_178,1,0,
p_179,1,0,
p_180,1,0,
p_181,1,0,
p_182,1,0,
p_183,1,0,
p_184,1,0,
p_185,1,0,
p_186,1,0,
p_187,1,0,
p_188,1,0,
p_189,1,0,
p_190,1,0,
p_191,1,0,
p_192,1,0,
p_193,1,0,
p_194,1,0,
p_195,1,0,
p_196,1,0,
p_197,1,0,
p_198,1,0,
p_199,1,0,
p_200,1,0,
p_201,1,0,
p_202,1,0,
p_203,1,0,
p_204,1,0,
p_205,1,0,
p_206,1,0,
p_207,1,0,
p_208,1,0,
p_209,1,0,
p_210,1,0,
p_211,1,0,
p_212,1,0,
p_213,1,0,
p_214,1,0,
p_215,1,0,
p_216,1,0,
p_217,1,0,
p_218,1,0,
p_219,1,0,
p_220,1,0,
p_221,1,0,
p_222,1,0,
p_223,1,0,
p_224,1,0,
p_225,1,0,
p_226,1,0,
p_227,1,0,
p_228,1,0,
p_229,1,0,
p_230,1,0,
p_231,1,0,
p_232,1,0,
p_233,1,0,
p_234,1,0,
p_235,1,0,
p_236,1,0,
p_237,1,0,
p_238,1,0,
p_239,1,0,
p_240,1,0,
p_241,1,0,
p_242,1,0,
p_243,1,0,
p_244,1,0,
p_245,1,0,
p_246,1,0,
p_247,1,0,
p_248,1,0,
p_249,1,0,
p_250,1,0,
p_251,1,0,
p_252,1,0,
p_253,1,0,
p_254,1,0,
p_255,1,0,
p_256,1,0,
p_257,1,0,
p_258,1,0,
p_259,1,0,
p_260,1,0,
p_261,1,0,
p_262,1,0,
p_263,1,0,
p_264,1,0,
p_265,1,0,
p_266,1,0,
p_267,1,0,
p_268,1,0,
p_269,1,0,
p_270,1,0,
p_271,1,0,
p_272,1,0,
p_273,1,0,
p_274,1,0,
p_275,1,0,
p_276,1,0,
p_277,1,0,
p_278,1,0,
p_279,1,0,
p_280,1,0,
p_281,1,0,
p_282,1,0,
p_283,1,0,
p_284,1,0,
p_285,1,0,
p_286,1,0,
p_287,1,0,
p_288,1,0,
p_289,1,0,
p_290,1,0,
p_291,1,0,
p_292,1,0,
p_293,1,0,
p_294,1,0,
p_295,1,0,
p_296,1,0,
p_297,1,0,
p_298,1,0,
p_299,1,0,
p_300,1,0,
p_301,1,0,
p_302,1,0,
p_303,1,0,
p_304,1,0,
p_305,1,0,
p_306,1,0,
p_307,1,0,
p_308,1,0,
p_309,1,0,
p_310,1,0,
p_311,1,0,
p_312,1,0,
p_313,1,0,
p_314,1,0,
p_315,1,0,
p_316,1,0,
p_317,1,0,
p_318,1,0,
p_319,1,0,
p_320,1,0,
p_321,1,0,
p_322,1,0,
p_323,1,0,
p_324,1,0,
p_325,1,0,
p_326,1,0,
p_327,1,0,
p_328,1,0,
p_329,1,0,
p_330,1,0,
p_331,1,0,
p_332,1,0,
p_333,1,0,
p_334,1,0,
p_335,1,0,
p_336,1,0,
p_337,1,0,
p_338,1,0,
p_339,1,0,
p_340,1,0,
p_341,1,0,
p_342,1,0,
p_343,1,0,
p_344,1,0,
p_345,1,0,
p_346,1,0,
p_347,1,0,
p_348,1,0,
p_349,1,0,
p_350,1,1,
p_351,1,1,
p_352,1,1,
p_353,1,1,
p_354,1,1,
p_355,1,1,
p_356,1,1,
p_357,1,1,
p_358,1,1,
p_359,1,1,
p_360,1,1,
p_361,1,1,
p_362,1,1,
p_363,1,1,
p_364,1,1,
p_365,1,1,
p_366,1,1,
p_367,1,1,
p_368,1,1,
p_369,1,1,
p_370,1,1,
p_371,1,1,
p_372,1,1,
p_373,1,1,
p_374,1,1,
p_375,1,1,
p_376,1,1,
p_377,1,1,
p_378,1,1,
p_379,1,1,
p_380,1,1,
p_381,1,1,
p_382,1,1,
p_383,1,1,
p_384,1,1,
p_385,1,1,
p_386,1,1,
p_387,1,1,
p_388,1,1,
p_389,1,1,
p_390,1,1,
p_391,1,1,
p_392,1,1,
p_393,1,1,
p_394,1,1,
p_395,1,1,
p_396,1,1,
p_397,1,1,
p_398,1,1,
p_399,1,1,
p_400,1,1,
p_401,1,1,
p_402,1,1,
p_403,1,1,
p_404,1,1,
p_405,1,1,
p_406,1,0,
p_407,1,0,
p_408,1,0,
p_409,1,0,
p_410,1,0,
p_411,1,0,
p_412,1,0,
p_413,1,0,
p_414,1,0,
p_415,1,0,
p_416,1,0,
p_417,1,0,
p_418,1,0,
p_419,1,0,
p_420,1,0,
p_421,1,0,
p_422,1,0,
p_423,1,0,
p_424,1,0,
p_425,1,0,
p_426,1,0,
p_427,1,0,
p_428,1,0,
p_429,1,0,
p_430,1,0,
p_431,1,0,
p_432,1,0,
p_433,1,0,
p_434,1,0,
p_435,1,0,
p_436,1,0,
p_437,1,0,
p_438,1,0,
p_439,1,0,
p_440,1,0,
p_441,1,0,
p_442,1,0,
p_443,1,0,
p_444,1,0,
p_445,1,0,
p_446,1,0,
p_447,1,0,
p_448,1,0,
p_449,1,0,
p_450,1,0,
p_451,1,0,
p_452,1,0,
p_453,1,0,
p_454,1,0,
p_455,1,0,
p_456,1,0,
p_457,1,0,
p_458,1,0,
p_459,1,0,
p_460,1,0,
p_461,1,0,
p_462,1,0,
p_463,1,0,
p_464,1,0,
p_465,1,0,
p_466,1,0,
p_467,1,0,
p_468,1,0,
p_469,1,0,
p_470,1,0,
p_471,1,0,
p_472,1,0,
p_473,1,0,
p_474,1,0,
p_475,1,0,
p_476,1,0,
p_477,1,0,
p_478,1,0,
p_479,1,0,
p_480,1,0,
p_481,1,0,
p_482,1,0,
p_483,1,0,
p_484,1,0,
p_485,1,0,
p_486,1,0,
p_487,1,0,
p_488,1,0,
p_489,1,0,
p_490,1,0,
p_491,1,0,
p_492,1,0,
p_493,1,0,
p_494,1,0,
p_495,1,0,
p_496,1,0,
p_497,1,0,
p_498,1,0,
p_499,1,0,
p_500,1,0,
p_501,1,0,
p_502,1,0,
p_503,1,0,
p_504,1,0,
p_505,1,0,
p_506,1,0,
p_507,1,0,
p_508,1,0,
p_509,1,0,
p_510,1,0,
p_511,1,0,
p_512,1,0,
p_513,1,0,
p_514,1,0,
p_515,1,1,
p_516,1,1,
p_517,1,1,
p_518,1,1,
p_519,1,1,
p_520,1,1,
p_521,1,1,
p_522,1,1,
p_523,1,1,
p_524,1,1,
p_525,1,1,
p_526,1,1,
p_527,1,1,
p_528,1,1,
p_529,1,1,
p_530,1,1,
p_531,1,1,
p_532,1,1,
p_533,1,1,
p_534,1,1,
p_535,1,1,
p_536,1,1,
p_537,1,1,
p_538,1,1,
p_539,1,1,
p_540,1,1,
p_541,1,1,
p_542,1,1,
p_543,1,1,
p_544,1,1,
p_545,1,1,
p_546,1,1,
p_547,1,1,
p_548,1,1,
p_549,1,1,
p_550,1,1,
p_551,1,1,
p_552,1,1,
p_553,1,1,
p_554,1,1,
p_555,1,1,
p_556,1,1,
p_557,1,1,
p_558,1,1,
p_559,1,1,
p_560,1,1,
p_561,1,1,
p_562,1,1,
p_563,1,1,
p_564,1,1,
p_565,1,1,
p_566,1,1,
p_567,1,1,
p_568,1,1,
p_569,1,1,
p_570,1,1,
p_571,1,1,
p_572,1,1,
p_573,1,1,
p_574,1,1,
p_575,1,1,
p_576,1,1,
p_577,1,1,
p_578,1,1,
p_579,1,1,
p_580,1,1,
p_581,1,1,
p_582,1,1,
p_583,1,1,
p_584,1,1,
p_585,1,1,
p_586,1,1,
p_587,1,1,
p_588,1,1,
p_589,1,1,
p_590,1,1,
p_591,1,1,
p_592,1,1,
p_593,1,1,
p_594,1,1,
p_595,1,1,
p_596,1,1,
p_597,1,1,
p_598,1,1,
p_599,1,1,
p_600,1,1,
p_601,1,1,
p_602,1,1,
p_603,1,1,
p_604,1,1,
p_605,1,1,
p_606,1,1,
p_607,1,1,
p_608,1,1,
p_609,1,0,
p_610,1,0,
p_611,1,0,
p_612,1,0,
p_613,1,0,
p_614,1,0,
p_615,1,0,
p_616,1,0,
p_617,1,0,
p_618,1,0,
p_619,1,0,
p_620,1,0,
p_621,1,0,
p_622,1,0,
p_623,1,0,
p_624,1,0,
p_625,1,0,
p_626,1,0,
p_627,1,0,
p_628,1,0,
p_629,1,0,
p_630,1,0,
p_631,1,0,
p_632,1,0,
p_633,1,0,
p_634,1,0,
p_635,1,0,
p_636,1,0,
p_637,1,0,
p_638,1,0,
p_639,1,0,
p_640,1,0,
p_641,1,0,
p_642,1,0,
p_643,1,0,
p_644,1,0,
p_645,1,0,
p_646,1,0,
p_647,1,0,
p_648,1,0,
p_649,1,0,
p_650,1,0,
p_651,1,0,
p_652,1,0,
p_653,1,0,
p_654,1,0,
p_655,1,0,
p_656,1,0,
p_657,1,0,
p_658,1,0,
p_659,1,0,
p_660,1,0,
p_661,1,0,
p_662,1,0,
p_663,1,0,
p_664,1,0,
p_665,1,0,
p_666,1,1,
p_667,1,1,
p_668,1,1,
p_669,1,1,
p_670,1,1,
p_671,1,1,
p_672,1,1,
p_673,1,1,
p_674,1,1,
p_675,1,1,
p_676,1,1,
p_677,1,1,
p_678,1,1,
p_679,1,1,
p_680,1,1,
p_681,1,1,
p_682,1,1,
p_683,1,1,
p_684,1,1,
p_685,1,1,
p_686,1,1,
p_687,1,1,
p_688,1,1,
p_689,1,1,
p_690,1,1,
p_691,1,1,
p_692,1,1,
p_693,1,1,
p_694,1,1,
p_695,1,1,
p_696,1,1,
p_697,1,1,
p_698,1,1,
p_699,1,1,
p_700,1,1,
p_701,1,1,
p_702,1,1,
p_703,1,1,
p_704,1,1,
p_705,1,1,
p_706,1,1,
p_707,1,1,
p_708,1,1,
p_709,1,0,
p_710,1,0,
p_711,1,0,
p_712,1,0,
p_713,1,0,
p_714,1,0,
p_715,1,0,
p_716,1,0,
p_717,1,0,
p_718,1,0,
p_719,1,0,
p_720,1,0,
p_721,1,0,
p_722,1,0,
p_723,1,0,
p_724,1,0,
p_725,1,0,
p_726,1,0,
p_727,1,0,
p_728,1,1,
p_729,1,1,
p_730,1,1,
p_731,1,1,
p_732,1,1,
p_733,1,1,
p_734,1,1,
p_735,1,1,
p_736,1,1,
p_737,1,1,
p_738,1,1,
p_739,1,1,
p_740,1,1,
p_741,1,1,
p_742,1,1,
p_743,1,1,
p_744,1,1,
p_745,1,1,
p_746,1,1,
p_747,1,1,
p_748,1,1,
p_749,1,1,
p_750,1,1,
p_751,1,1,
p_752,1,1,
p_753,1,1,
p_754,1,1,
p_755,1,1,
p_756,1,1,
p_757,1,1,
p_758,1,1,
p_759,1,1,
p_760,1,1,
p_761,1,1,
p_762,1,1,
p_763,1,1,
p_764,1,1,
p_765,1,1,
p_766,1,1,
p_767,1,1,
p_768,1,1,
p_769,1,1,
p_770,1,1,
p_771,1,1,
p_772,1,1,
p_773,1,1,
p_774,1,1,
p_775,1,1,
p_776,1,1,
p_777,1,1,
p_778,1,1,
p_779,1,1,
p_780,1,1,
p_781,1,1,
p_782,1,1,
p_783,1,1,
p_784,1,1,
p_785,1,1,
p_786,1,1,
p_787,1,1,
p_788,1,0,
p_789,1,0,
p_790,1,0,
p_791,1,0,
p_792,1,0,
p_793,1,0,
p_794,1,0,
p_795,1,0,
p_796,1,0,
p_797,1,0,
p_798,1,0,
p_799,1,0,
p_800,1,0,
p_801,1,0,
p_802,1,0,
p_803,1,0,
p_804,1,0,
p_805,1,0,
p_806,1,0,
p_807,1,0,
p_808,1,0,
p_809,1,0,
p_810,1,0,
p_811,1,0,
p_812,1,0,
p_813,1,0,
p_814,1,0,
p_815,1,1,
p_816,1,1,
p_817,1,1,
p_818,1,1,
p_819,1,1,
p_820,1,1,
p_821,1,1,
p_822,1,1,
p_823,1,1,
p_824,1,1,
p_825,1,1,
p_826,1,1,
p_827,1,1,
p_828,1,1,
p_829,1,1,
p_830,1,1,
p_831,1,1,
p_832,1,1,
p_833,1,1,
p_834,1,1,
p_835,1,1,
p_836,1,1,
p_837,1,1,
p_838,1,1,
p_839,1,1,
p_840,1,1,
p_841,1,1,
p_842,1,0,
p_843,1,0,
p_844,1,0,
p_845,1,0,
p_846,1,0,
p_847,1,0,
p_848,1,0,
p_849,1,0,
p_850,1,0,
p_851,1,0,
p_852,1,0,
p_853,1,0,
p_854,1,0,
p_855,1,0,
p_856,1,0,
p_857,1,0,
p_858,1,0,
p_859,1,0,
p_860,1,0,
p_861,1,0,
p_862,1,0,
p_863,1,0,
p_864,1,0,
p_865,1,0,
p_866,1,0,
p_867,1,0,
p_868,1,0,
p_869,1,0,
p_870,1,0,
p_871,1,0,
p_872,1,0,
p_873,1,0,
p_874,1,0,
p_875,1,0,
p_876,1,0,
p_877,1,0,
p_878,1,0,
p_879,1,0,
p_880,1,0,
p_881,1,0,
p_882,1,0,
p_883,1,0,
p_884,1,0,
p_885,1,0,
p_886,1,0,
p_887,1,0,
p_888,1,0,
p_889,1,0,
p_890,1,0,
p_891,1,0,
p_892,1,0,
p_893,1,0,
p_894,1,0,
p_895,1,0,
p_896,1,0,
p_897,1,0,
p_898,1,0,
p_899,1,0,
p_900,1,0,
p_901,1,0,
p_902,1,0,
p_903,1,0,
p_904,1,0,
p_905,1,0,
p_906,1,0,
p_907,1,0,
p_908,1,0,
p_909,1,0,
p_910,1,0,
p_911,1,0,
p_912,1,0,
p_913,1,0,
p_914,1,0,
p_915,1,0,
p_916,1,0,
p_917,1,0,
p_918,1,0,
p_919,1,0,
p_920,1,0,
p_921,1,0,
p_922,1,0,
p_923,1,0,
p_924,1,0,
p_925,1,0,
p_926,1,0,
p_927,1,0,
p_928,1,0,
p_929,1,0,
p_930,1,0,
p_931,1,0,
p_932,1,0,
p_933,1,0,
p_934,1,0,
p_935,1,0,
p_936,1,0,
p_937,1,0,
p_938,1,0,
p_939,1,0,
p_940,1,0,
p_941,1,0,
p_942,1,0,
p_943,1,0,
p_944,1,0,
p_945,1,0,
p_946,1,0,
p_947,1,0,
p_948,1,0,
p_949,1,0,
p_950,1,0,
p_951,1,0,
p_952,1,0,
p_953,1,0,
p_954,1,0,
p_955,1,0,
p_956,1,0,
p_957,1,0,
p_958,1,0,
p_959,1,0,
p_960,1,0,
p_961,1,0,
p_962,1,0,
p_963,1,0,
p_964,1,0,
p_965,1,0,
p_966,1,0,
p_967,1,0,
p_968,1,0,
p_969,1,0,
p_970,1,0,
p_971,1,0,
p_972,1,0,
p_973,1,0,
p_974,1,0,
p_975,1,0,
p_976,1,0,
p_977,1,0,
p_978,1,0,
p_979,1,0,
p_980,1,0,
p_981,1,0,
p_982,1,0,
p_983,1,0,
p_984,1,0,
p_985,1,0,
p_986,1,0,
p_987,1,0,
p_988,1,0,
p_989,1,0,
p_990,1,0,
p_991,1,0,
p_992,1,0,
p_993,1,0,
p_994,1,0,
p_995,1,0,
p_996,1,0,
p_997,1,0,
p_998,1,0,
p_999,1,0,
p_1000,1,0,
p_1001,1,0,
p_1002,1,0,
p_1003,1,0,
p_1004,1,0,
p_1005,1,0,
p_1006,1,0,
p_1007,1,0,
p_1008,1,0,
p_1009,1,0,
p_1010,1,0,
p_1011,1,0,
p_1012,1,0,
p_1013,1,0,
p_1014,1,0,
p_1015,1,0,
p_1016,1,0,
p_1017,1,0,
p_1018,1,0,
p_1019,1,1,
p_1020,1,1,
p_1021,1,1,
p_1022,1,1,
p_1023,1,1,
p_1024,1,1,
p_1025,1,1,
p_1026,1,1,
p_1027,1,1,
p_1028,1,1,
p_1029,1,1,
p_1030,1,1,
p_1031,1,1,
p_1032,1,1,
p_1033,1,1,
p_1034,1,1,
p_1035,1,1,
p_1036,1,1,
p_1037,1,1,
p_1038,1,1,
p_1039,1,1,
p_1040,1,1,
p_1041,1,1,
p_1042,1,1,
p_1043,1,1,
p_1044,1,1,
p_1045,1,1,
p_1046,1,1,
p_1047,1,1,
p_1048,1,1,
p_1049,1,1,
p_1050,1,1,
p_1051,1,1,
p_1052,1,1,
p_1053,1,1,
p_1054,1,1,
p_1055,1,1,
p_1056,1,1,
p_1057,1,1,
p_1058,1,1,
p_1059,1,1,
p_1060,1,1,
p_1061,1,1,
p_1062,1,1,
p_1063,1,1,
p_1064,1,1,
p_1065,1,1,
p_1066,1,1,
p_1067,1,1,
p_1068,1,1,
p_1069,1,1,
p_1070,1,1,
p_1071,1,1,
p_1072,1,1,
p_1073,1,1,
p_1074,1,1,
p_1075,1,1,
p_1076,1,1,
p_1077,1,1,
p_1078,1,1,
p_1079,1,1,
p_1080,1,1,
p_1081,1,1,
p_1082,1,1,
p_1083,1,1,
p_1084,1,1,
p_1085,1,1,
p_1086,1,1,
p_1087,1,1,
p_1088,1,1,
p_1089,1,1,
p_1090,1,1,
p_1091,1,1,
p_1092,1,1,
p_1093,1,1,
p_1094,1,1,
p_1095,1,1,
p_1096,1,1,
p_1097,1,1,
p_1098,1,1,
p_1099,1,1,
p_1100,1,1,
p_1101,1,1,
p_1102,1,1,
p_1103,1,1,
p_1104,1,1,
p_1105,1,1,
p_1106,1,1,
p_1107,1,1,
p_1108,1,1,
p_1109,1,1,
p_1110,1,1,
p_1111,1,1,
p_1112,1,1,
p_1113,1,1,
p_1114,1,1,
p_1115,1,1,
p_1116,1,1,
p_1117,1,1,
p_1118,1,1,
p_1119,1,1,
p_1120,1,1,
p_1121,1,1,
p_1122,1,1,
p_1123,1,1,
p_1124,1,1,
p_1125,1,1,
p_1126,1,1,
p_1127,1,1,
p_1128,1,1,
p_1129,1,1,
p_1130,1,1,
p_1131,1,1,
p_1132,1,1,
p_1133,1,1,
p_1134,1,1,
p_1135,1,1,
p_1136,1,1,
p_1137,1,1,
p_1138,1,1,
p_1139,1,1,
p_1140,1,1,
p_1141,1,1,
p_1142,1,1,
p_1143,1,1,
p_1144,1,1,
p_1145,1,1,
p_1146,1,1,
p_1147,1,1,
p_1148,1,1,
p_1149,1,1,
p_1150,1,1,
p_1151,1,1,
p_1152,1,1,
p_1153,1,0,
p_1154,1,0,
p_1155,1,0,
p_1156,1,0,
p_1157,1,0,
p_1158,1,0,
p_1159,1,0,
p_1160,1,0,
p_1161,1,0,
p_1162,1,0,
p_1163,1,0,
p_1164,1,0,
p_1165,1,0,
p_1166,1,0,
p_1167,1,0,
p_1168,1,0,
p_1169,1,0,
p_1170,1,0,
p_1171,1,0,
p_1172,1,0,
p_1173,1,0,
p_1174,1,0,
p_1175,1,0,
p_1176,1,0,
p_1177,1,0,
p_1178,1,0,
p_1179,1,0,
p_1180,1,0,
p_1181,1,0,
p_1182,1,0,
p_1183,1,0,
p_1184,1,0,
p_1185,1,0,
p_1186,1,0,
p_1187,1,0,
p_1188,1,0,
p_1189,1,0,
p_1190,1,0,
p_1191,1,0,
p_1192,1,0,
p_1193,1,0,
p_1194,1,0,
p_1195,1,0,
p_1196,1,0,
p_1197,1,0,
p_1198,1,0,
p_1199,1,0,
p_1200,1,0,
p_1201,1,0,
p_1202,1,0,
p_1203,1,0,
p_1204,1,0,
p_1205,1,0,
p_1206,1,0,
p_1207,1,0,
p_1208,1,0,
p_1209,1,0,
p_1210,1,0,
p_1211,1,0,
p_1212,1,0,
p_1213,1,0,
p_1214,1,0,
p_1215,1,0,
p_1216,1,0,
p_1217,1,0,
p_1218,1,0,
p_1219,1,0,
p_1220,1,0,
p_1221,1,0,
p_1222,1,0,
p_1223,1,0,
p_1224,1,0,
p_1225,1,0,
p_1226,1,0,
p_1227,1,0,
p_1228,1,0,
p_1229,1,0,
p_1230,1,0,
p_1231,1,0,
p_1232,1,0,
p_1233,1,0,
p_1234,1,0,
p_1235,1,1,
p_1236,1,1,
p_1237,1,1,
p_1238,1,1,
p_1239,1,1,
p_1240,1,1,
p_1241,1,1,
p_1242,1,1,
p_1243,1,1,
p_1244,1,1,
p_1245,1,1,
p_1246,1,1,
p_1247,1,1,
p_1248,1,1,
p_1249,1,1,
p_1250,1,1,
p_1251,1,1,
p_1252,1,1,
p_1253,1,1,
p_1254,1,1,
p_1255,1,1,
p_1256,1,1,
p_1257,1,1,
p_1258,1,1,
p_1259,1,1,
p_1260,1,1,
p_1261,1,1,
p_1262,1,1,
p_1263,1,1,
p_1264,1,1,
p_1265,1,1,
p_1266,1,1,
p_1267,1,1,
p_1268,1,1,
p_1269,1,1,
p_1270,1,1,
p_1271,1,1,
p_1272,1,1,
p_1273,1,1,
p_1274,1,1,
p_1275,1,1,
p_1276,1,1,
p_1277,1,1,
p_1278,1,1,
p_1279,1,1,
p_1280,1,1,
p_1281,1,1,
p_1282,1,1,
p_1283,1,1,
p_1284,1,1,
p_1285,1,1,
p_1286,1,1,
p_1287,1,1,
p_1288,1,1,
p_1289,1,1,
p_1290,1,1,
p_1291,1,1,
p_1292,1,1,
p_1293,1,1,
p_1294,1,1,
p_1295,1,1,
p_1296,1,1,
p_1297,1,1,
p_1298,1,1,
p_1299,1,1,
p_1300,1,1,
p_1301,1,1,
p_1302,1,1,
p_1303,1,1,
p_1304,1,1,
p_1305,1,1,
p_1306,1,1,
p_1307,1,1,
p_1308,1,1,
p_1309,1,1,
p_1310,1,1,
p_1311,1,1,
p_1312,1,1,
p_1313,1,1,
p_1314,1,1,
p_1315,1,1,
p_1316,1,1,
p_1317,1,1,
p_1318,1,1,
p_1319,1,1,
p_1320,1,1,
p_1321,1,1,
p_1322,1,1,
p_1323,1,1,
p_1324,1,1,
